time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2024/05/14/15:15:58.533621,42713,1715714158,533101548,map,34.47447001510537,-3.8101064330445906,-1.1168262958526611,0.0011354464034095087,0.01621876938902859,-0.14199750993548985,0.9897334840516869
2024/05/14/15:15:58.553372,42714,1715714158,553156603,map,34.474338043064385,-3.81005973077216,-1.113969087600708,0.001290637507264847,0.016248422048300726,-0.1419996565805329,0.9897324995001304
2024/05/14/15:15:58.573637,42715,1715714158,573126686,map,34.47422085256618,-3.8100181138622795,-1.113969087600708,0.0012906358402520217,0.016248422180714067,-0.14199955503856346,0.9897325140686322
2024/05/14/15:15:58.593887,42716,1715714158,593659430,map,34.47411647046561,-3.809980885639716,-1.113969087600708,0.00129063422999836,0.016248422308618782,-0.14199945695393762,0.9897325281410891
2024/05/14/15:15:58.613771,42717,1715714158,613505030,map,34.47402253433547,-3.809947260464126,-1.113969087600708,0.001290632654474797,0.01624842243376468,-0.1419993609848094,0.9897325419100207
2024/05/14/15:15:58.633073,42718,1715714158,632888827,map,34.47393753986769,-3.8099167208772706,-1.113969087600708,0.0012906311174753812,0.016248422555850402,-0.1419992673622839,0.98973255534227
2024/05/14/15:15:58.653193,42719,1715714158,652966427,map,34.47386026735071,-3.8098888466282395,-1.113969087600708,0.0012906296179018466,0.016248422674963205,-0.14199917601946305,0.989732568447436
2024/05/14/15:15:58.673275,42720,1715714158,673023463,map,34.473347391209316,-3.809706980336607,-1.1153852939605713,0.001334219718703344,0.01629802051494177,-0.1420004747661366,0.989731508820058
2024/05/14/15:15:58.694093,42721,1715714158,693785324,map,34.47289138108953,-3.8095446198993277,-1.1153852939605713,0.0013342339466592247,0.01629801935017939,-0.14200133878860174,0.9897313848551441
2024/05/14/15:15:58.713982,42722,1715714158,713718475,map,34.472482213358084,-3.8093983983812327,-1.1153852939605713,0.001334247812409409,0.016298018215056713,-0.14200218081532148,0.9897312640453112
2024/05/14/15:15:58.735162,42723,1715714158,733412840,map,34.472112876646094,-3.8092659132049724,-1.1153852939605713,0.0013342613067553837,0.016298017110327717,-0.1420030002877004,0.9897311464707615
2024/05/14/15:15:58.755826,42724,1715714158,753385656,map,34.47177778485872,-3.8091452433734747,-1.1153852939605713,0.001334274442366966,0.016298016034956096,-0.14200379797514304,0.9897310320211606
