time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2024/05/14/15:15:58.531619,43719,1715714158,531483973,gps,0,0,34.8151447482118,-82.3267393508817,281.88777726888657,"(0.9195868991786291, 0.0, 0.0, 0.0, 1.9364703048413645, 0.0, 0.0, 0.0, 5.9862900267035)",2
2024/05/14/15:15:58.554416,43720,1715714158,554347908,gps,0,0,34.8151447482118,-82.3267393508817,281.88777726888657,"(0.9195868991786291, 0.0, 0.0, 0.0, 1.9364703048413645, 0.0, 0.0, 0.0, 5.9862900267035)",2
2024/05/14/15:15:58.572805,43721,1715714158,572612582,gps,0,0,34.81514472856768,-82.32673939641226,281.8887778976932,"(0.9196143351896389, 0.0, 0.0, 0.0, 1.9366040130464626, 0.0, 0.0, 0.0, 5.9862456932298755)",2
2024/05/14/15:15:58.591182,43722,1715714158,591068833,gps,0,0,34.81514472856768,-82.32673939641226,281.8887778976932,"(0.9196143351896389, 0.0, 0.0, 0.0, 1.9366040130464626, 0.0, 0.0, 0.0, 5.9862456932298755)",2
2024/05/14/15:15:58.612188,43723,1715714158,612053361,gps,0,0,34.81514472856768,-82.32673939641226,281.8887778976932,"(0.9196143351896389, 0.0, 0.0, 0.0, 1.9366040130464626, 0.0, 0.0, 0.0, 5.9862456932298755)",2
2024/05/14/15:15:58.631312,43724,1715714158,631190564,gps,0,0,34.81514472856768,-82.32673939641226,281.8887778976932,"(0.9196143351896389, 0.0, 0.0, 0.0, 1.9366040130464626, 0.0, 0.0, 0.0, 5.9862456932298755)",2
2024/05/14/15:15:58.661552,43725,1715714158,661401815,gps,0,0,34.81514472856768,-82.32673939641226,281.8887778976932,"(0.9196143351896389, 0.0, 0.0, 0.0, 1.9366040130464626, 0.0, 0.0, 0.0, 5.9862456932298755)",2
2024/05/14/15:15:58.671777,43726,1715714158,671599574,gps,0,0,34.815144769654665,-82.32673942545414,281.89328754507005,"(0.9195819836032229, 0.0, 0.0, 0.0, 1.9365996998065071, 0.0, 0.0, 0.0, 5.986027528264515)",2
2024/05/14/15:15:58.691596,43727,1715714158,691437872,gps,0,0,34.815144769654665,-82.32673942545414,281.89328754507005,"(0.9195819836032229, 0.0, 0.0, 0.0, 1.9365996998065071, 0.0, 0.0, 0.0, 5.986027528264515)",2
2024/05/14/15:15:58.711635,43728,1715714158,711504334,gps,0,0,34.815144769654665,-82.32673942545414,281.89328754507005,"(0.9195819836032229, 0.0, 0.0, 0.0, 1.9365996998065071, 0.0, 0.0, 0.0, 5.986027528264515)",2
2024/05/14/15:15:58.734945,43729,1715714158,732002977,gps,0,0,34.815144769654665,-82.32673942545414,281.89328754507005,"(0.9195819836032229, 0.0, 0.0, 0.0, 1.9365996998065071, 0.0, 0.0, 0.0, 5.986027528264515)",2
2024/05/14/15:15:58.759447,43730,1715714158,756988256,gps,0,0,34.815144769654665,-82.32673942545414,281.89328754507005,"(0.9195819836032229, 0.0, 0.0, 0.0, 1.9365996998065071, 0.0, 0.0, 0.0, 5.986027528264515)",2
2024/05/14/15:15:58.774282,43731,1715714158,771606784,gps,0,0,34.81514472869143,-82.32673941923728,281.8881402462721,"(0.9192923308010137, 0.0, 0.0, 0.0, 1.936461346888393, 0.0, 0.0, 0.0, 5.985838532952187)",2
2024/05/14/15:15:58.792230,43732,1715714158,792075980,gps,0,0,34.81514472869143,-82.32673941923728,281.8881402462721,"(0.9192923308010137, 0.0, 0.0, 0.0, 1.936461346888393, 0.0, 0.0, 0.0, 5.985838532952187)",2
2024/05/14/15:15:58.813586,43733,1715714158,813484943,gps,0,0,34.81514472869143,-82.32673941923728,281.8881402462721,"(0.9192923308010137, 0.0, 0.0, 0.0, 1.936461346888393, 0.0, 0.0, 0.0, 5.985838532952187)",2
2024/05/14/15:15:58.831339,43734,1715714158,831239505,gps,0,0,34.81514472869143,-82.32673941923728,281.8881402462721,"(0.9192923308010137, 0.0, 0.0, 0.0, 1.936461346888393, 0.0, 0.0, 0.0, 5.985838532952187)",2
2024/05/14/15:15:58.901446,43735,1715714158,901344066,gps,0,0,34.81514472869143,-82.32673941923728,281.8881402462721,"(0.9192923308010137, 0.0, 0.0, 0.0, 1.936461346888393, 0.0, 0.0, 0.0, 5.985838532952187)",2
2024/05/14/15:15:58.938697,43736,1715714158,938593761,gps,0,0,34.81514471256608,-82.32673940951703,281.8932041153312,"(0.9192755291380514, 0.0, 0.0, 0.0, 1.9364457534641275, 0.0, 0.0, 0.0, 5.985877031755308)",2
2024/05/14/15:15:58.964388,43737,1715714158,964229012,gps,0,0,34.81514471256608,-82.32673940951703,281.8932041153312,"(0.9192755291380514, 0.0, 0.0, 0.0, 1.9364457534641275, 0.0, 0.0, 0.0, 5.985877031755308)",2
2024/05/14/15:15:58.974184,43738,1715714158,973437895,gps,0,0,34.81514471256608,-82.32673940951703,281.8932041153312,"(0.9192755291380514, 0.0, 0.0, 0.0, 1.9364457534641275, 0.0, 0.0, 0.0, 5.985877031755308)",2
2024/05/14/15:15:58.988497,43739,1715714158,988343942,gps,0,0,34.81514471256608,-82.32673940951703,281.8932041153312,"(0.9192755291380514, 0.0, 0.0, 0.0, 1.9364457534641275, 0.0, 0.0, 0.0, 5.985877031755308)",2
2024/05/14/15:15:58.995040,43740,1715714158,994934258,gps,0,0,34.81514471256608,-82.32673940951703,281.8932041153312,"(0.9192755291380514, 0.0, 0.0, 0.0, 1.9364457534641275, 0.0, 0.0, 0.0, 5.985877031755308)",2
2024/05/14/15:15:59.014288,43741,1715714159,14192522,gps,0,0,34.81514469036598,-82.32673935320516,281.8906228169799,"(0.9189862674431879, 0.0, 0.0, 0.0, 1.936115983834398, 0.0, 0.0, 0.0, 5.985412721114699)",2
2024/05/14/15:15:59.026681,43742,1715714159,26512483,gps,0,0,34.81514469036598,-82.32673935320516,281.8906228169799,"(0.9189862674431879, 0.0, 0.0, 0.0, 1.936115983834398, 0.0, 0.0, 0.0, 5.985412721114699)",2
2024/05/14/15:15:59.035802,43743,1715714159,35706127,gps,0,0,34.81514469036598,-82.32673935320516,281.8906228169799,"(0.9189862674431879, 0.0, 0.0, 0.0, 1.936115983834398, 0.0, 0.0, 0.0, 5.985412721114699)",2
2024/05/14/15:15:59.044186,43744,1715714159,43996302,gps,0,0,34.81514469036598,-82.32673935320516,281.8906228169799,"(0.9189862674431879, 0.0, 0.0, 0.0, 1.936115983834398, 0.0, 0.0, 0.0, 5.985412721114699)",2
2024/05/14/15:15:59.056721,43745,1715714159,56617744,gps,0,0,34.81514469036598,-82.32673935320516,281.8906228169799,"(0.9189862674431879, 0.0, 0.0, 0.0, 1.936115983834398, 0.0, 0.0, 0.0, 5.985412721114699)",2
2024/05/14/15:15:59.072134,43746,1715714159,71848940,gps,0,0,34.815144715159846,-82.32673935429521,281.8957360126078,"(0.9189570123746762, 0.0, 0.0, 0.0, 1.9359547586032164, 0.0, 0.0, 0.0, 5.985385889643169)",2
2024/05/14/15:15:59.092520,43747,1715714159,92332632,gps,0,0,34.815144715159846,-82.32673935429521,281.8957360126078,"(0.9189570123746762, 0.0, 0.0, 0.0, 1.9359547586032164, 0.0, 0.0, 0.0, 5.985385889643169)",2
2024/05/14/15:15:59.111518,43748,1715714159,111359702,gps,0,0,34.815144715159846,-82.32673935429521,281.8957360126078,"(0.9189570123746762, 0.0, 0.0, 0.0, 1.9359547586032164, 0.0, 0.0, 0.0, 5.985385889643169)",2
2024/05/14/15:15:59.131843,43749,1715714159,131733610,gps,0,0,34.815144715159846,-82.32673935429521,281.8957360126078,"(0.9189570123746762, 0.0, 0.0, 0.0, 1.9359547586032164, 0.0, 0.0, 0.0, 5.985385889643169)",2
2024/05/14/15:15:59.155532,43750,1715714159,155358519,gps,0,0,34.815144715159846,-82.32673935429521,281.8957360126078,"(0.9189570123746762, 0.0, 0.0, 0.0, 1.9359547586032164, 0.0, 0.0, 0.0, 5.985385889643169)",2
2024/05/14/15:15:59.171752,43751,1715714159,171560210,gps,0,0,34.81514470585408,-82.32673935242559,281.8930623838678,"(0.9188251417919133, 0.0, 0.0, 0.0, 1.9357543975071536, 0.0, 0.0, 0.0, 5.985464051053896)",2
2024/05/14/15:15:59.191360,43752,1715714159,191243224,gps,0,0,34.81514470585408,-82.32673935242559,281.8930623838678,"(0.9188251417919133, 0.0, 0.0, 0.0, 1.9357543975071536, 0.0, 0.0, 0.0, 5.985464051053896)",2
2024/05/14/15:15:59.216324,43753,1715714159,216173421,gps,0,0,34.81514470585408,-82.32673935242559,281.8930623838678,"(0.9188251417919133, 0.0, 0.0, 0.0, 1.9357543975071536, 0.0, 0.0, 0.0, 5.985464051053896)",2
2024/05/14/15:15:59.231293,43754,1715714159,231179105,gps,0,0,34.81514470585408,-82.32673935242559,281.8930623838678,"(0.9188251417919133, 0.0, 0.0, 0.0, 1.9357543975071536, 0.0, 0.0, 0.0, 5.985464051053896)",2
2024/05/14/15:15:59.259626,43755,1715714159,259497596,gps,0,0,34.81514470585408,-82.32673935242559,281.8930623838678,"(0.9188251417919133, 0.0, 0.0, 0.0, 1.9357543975071536, 0.0, 0.0, 0.0, 5.985464051053896)",2
2024/05/14/15:15:59.272865,43756,1715714159,272577598,gps,0,0,34.81514466500475,-82.32673927791332,281.8920198334381,"(0.9187678941640378, 0.0, 0.0, 0.0, 1.9355139115396582, 0.0, 0.0, 0.0, 5.985402221836068)",2
2024/05/14/15:15:59.291667,43757,1715714159,291521410,gps,0,0,34.81514466500475,-82.32673927791332,281.8920198334381,"(0.9187678941640378, 0.0, 0.0, 0.0, 1.9355139115396582, 0.0, 0.0, 0.0, 5.985402221836068)",2
2024/05/14/15:15:59.311503,43758,1715714159,311288856,gps,0,0,34.81514466500475,-82.32673927791332,281.8920198334381,"(0.9187678941640378, 0.0, 0.0, 0.0, 1.9355139115396582, 0.0, 0.0, 0.0, 5.985402221836068)",2
2024/05/14/15:15:59.332365,43759,1715714159,332230113,gps,0,0,34.81514466500475,-82.32673927791332,281.8920198334381,"(0.9187678941640378, 0.0, 0.0, 0.0, 1.9355139115396582, 0.0, 0.0, 0.0, 5.985402221836068)",2
2024/05/14/15:15:59.359072,43760,1715714159,358978757,gps,0,0,34.81514466500475,-82.32673927791332,281.8920198334381,"(0.9187678941640378, 0.0, 0.0, 0.0, 1.9355139115396582, 0.0, 0.0, 0.0, 5.985402221836068)",2
2024/05/14/15:15:59.371964,43761,1715714159,371828938,gps,0,0,34.81514467660324,-82.32673928891849,281.89105239510536,"(0.9186033600138934, 0.0, 0.0, 0.0, 1.9353848845373847, 0.0, 0.0, 0.0, 5.985058083912008)",2
2024/05/14/15:15:59.392758,43762,1715714159,392611888,gps,0,0,34.81514467660324,-82.32673928891849,281.89105239510536,"(0.9186033600138934, 0.0, 0.0, 0.0, 1.9353848845373847, 0.0, 0.0, 0.0, 5.985058083912008)",2
2024/05/14/15:15:59.415980,43763,1715714159,415831109,gps,0,0,34.81514467660324,-82.32673928891849,281.89105239510536,"(0.9186033600138934, 0.0, 0.0, 0.0, 1.9353848845373847, 0.0, 0.0, 0.0, 5.985058083912008)",2
2024/05/14/15:15:59.431704,43764,1715714159,431565591,gps,0,0,34.81514467660324,-82.32673928891849,281.89105239510536,"(0.9186033600138934, 0.0, 0.0, 0.0, 1.9353848845373847, 0.0, 0.0, 0.0, 5.985058083912008)",2
2024/05/14/15:15:59.461421,43765,1715714159,461258384,gps,0,0,34.81514467660324,-82.32673928891849,281.89105239510536,"(0.9186033600138934, 0.0, 0.0, 0.0, 1.9353848845373847, 0.0, 0.0, 0.0, 5.985058083912008)",2
2024/05/14/15:15:59.471611,43766,1715714159,471443014,gps,0,0,34.8151446593246,-82.32673927916638,281.89259707089514,"(0.9183618414327874, 0.0, 0.0, 0.0, 1.9351523814405027, 0.0, 0.0, 0.0, 5.984716288919628)",2
2024/05/14/15:15:59.491706,43767,1715714159,491606675,gps,0,0,34.8151446593246,-82.32673927916638,281.89259707089514,"(0.9183618414327874, 0.0, 0.0, 0.0, 1.9351523814405027, 0.0, 0.0, 0.0, 5.984716288919628)",2
2024/05/14/15:15:59.512500,43768,1715714159,512354676,gps,0,0,34.8151446593246,-82.32673927916638,281.89259707089514,"(0.9183618414327874, 0.0, 0.0, 0.0, 1.9351523814405027, 0.0, 0.0, 0.0, 5.984716288919628)",2
