time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.brake_pedal
2024/05/14/15:15:58.597769,87173,1715714158,597305154,,0.25600001215934753
2024/05/14/15:15:58.607109,87174,1715714158,606263466,,0.25600001215934753
2024/05/14/15:15:58.617583,87175,1715714158,617194050,,0.25600001215934753
2024/05/14/15:15:58.626864,87176,1715714158,626353216,,0.25600001215934753
2024/05/14/15:15:58.636631,87177,1715714158,636273068,,0.25600001215934753
2024/05/14/15:15:58.646560,87178,1715714158,646310742,,0.25600001215934753
2024/05/14/15:15:58.656588,87179,1715714158,656280016,,0.25600001215934753
2024/05/14/15:15:58.666728,87180,1715714158,666274475,,0.25600001215934753
2024/05/14/15:15:58.676686,87181,1715714158,676276776,,0.25600001215934753
2024/05/14/15:15:58.686635,87182,1715714158,686364634,,0.25600001215934753
2024/05/14/15:15:58.696659,87183,1715714158,696279592,,0.25600001215934753
2024/05/14/15:15:58.706711,87184,1715714158,706322983,,0.25600001215934753
2024/05/14/15:15:58.716696,87185,1715714158,716301312,,0.25600001215934753
2024/05/14/15:15:58.726727,87186,1715714158,726280567,,0.25600001215934753
2024/05/14/15:15:58.741328,87187,1715714158,737748682,,0.25600001215934753
2024/05/14/15:15:58.748991,87188,1715714158,747131477,,0.25600001215934753
2024/05/14/15:15:58.758902,87189,1715714158,756354489,,0.25600001215934753
2024/05/14/15:15:58.770425,87190,1715714158,766296930,,0.25600001215934753
2024/05/14/15:15:58.780111,87191,1715714158,776310644,,0.25600001215934753
2024/05/14/15:15:58.786804,87192,1715714158,786326580,,0.25600001215934753
2024/05/14/15:15:58.798990,87193,1715714158,796302402,,0.25600001215934753
2024/05/14/15:15:58.806777,87194,1715714158,806306562,,0.25600001215934753
2024/05/14/15:15:58.816715,87195,1715714158,816336253,,0.25600001215934753
2024/05/14/15:15:58.826757,87196,1715714158,826299420,,0.25600001215934753
2024/05/14/15:15:58.836698,87197,1715714158,836349927,,0.25600001215934753
2024/05/14/15:15:58.846845,87198,1715714158,846319626,,0.25600001215934753
2024/05/14/15:15:58.856709,87199,1715714158,856324910,,0.25600001215934753
2024/05/14/15:15:58.866787,87200,1715714158,866349583,,0.25600001215934753
2024/05/14/15:15:58.876765,87201,1715714158,876318242,,0.25600001215934753
2024/05/14/15:15:58.886663,87202,1715714158,886320467,,0.25600001215934753
2024/05/14/15:15:58.896681,87203,1715714158,896351773,,0.25600001215934753
2024/05/14/15:15:58.906674,87204,1715714158,906327272,,0.25600001215934753
2024/05/14/15:15:58.916704,87205,1715714158,916344762,,0.25600001215934753
2024/05/14/15:15:58.926714,87206,1715714158,926316898,,0.25600001215934753
2024/05/14/15:15:58.936710,87207,1715714158,936338162,,0.25600001215934753
2024/05/14/15:15:58.946745,87208,1715714158,946374091,,0.25600001215934753
2024/05/14/15:15:58.956712,87209,1715714158,956335367,,0.25600001215934753
2024/05/14/15:15:58.966765,87210,1715714158,966367430,,0.25600001215934753
2024/05/14/15:15:58.976910,87211,1715714158,976337795,,0.25600001215934753
2024/05/14/15:15:58.986814,87212,1715714158,986338109,,0.25600001215934753
2024/05/14/15:15:58.996685,87213,1715714158,996356309,,0.25600001215934753
2024/05/14/15:15:59.006775,87214,1715714159,6386870,,0.25600001215934753
2024/05/14/15:15:59.016781,87215,1715714159,16394083,,0.25600001215934753
2024/05/14/15:15:59.026847,87216,1715714159,26358549,,0.25600001215934753
2024/05/14/15:15:59.036800,87217,1715714159,36356594,,0.25600001215934753
2024/05/14/15:15:59.046751,87218,1715714159,46358256,,0.25600001215934753
2024/05/14/15:15:59.056628,87219,1715714159,56349953,,0.25600001215934753
2024/05/14/15:15:59.066743,87220,1715714159,66404309,,0.25600001215934753
2024/05/14/15:15:59.076816,87221,1715714159,76351728,,0.25600001215934753
2024/05/14/15:15:59.087107,87222,1715714159,86673861,,0.25600001215934753
2024/05/14/15:15:59.096657,87223,1715714159,96353364,,0.25600001215934753
2024/05/14/15:15:59.106773,87224,1715714159,106368809,,0.25600001215934753
2024/05/14/15:15:59.116775,87225,1715714159,116354008,,0.25600001215934753
2024/05/14/15:15:59.126907,87226,1715714159,126359450,,0.25600001215934753
2024/05/14/15:15:59.136676,87227,1715714159,136400821,,0.25600001215934753
2024/05/14/15:15:59.146769,87228,1715714159,146379593,,0.25600001215934753
2024/05/14/15:15:59.156799,87229,1715714159,156374665,,0.25600001215934753
2024/05/14/15:15:59.166781,87230,1715714159,166400933,,0.25600001215934753
2024/05/14/15:15:59.176777,87231,1715714159,176397422,,0.25600001215934753
2024/05/14/15:15:59.187064,87232,1715714159,186436670,,0.25600001215934753
2024/05/14/15:15:59.196737,87233,1715714159,196398223,,0.25600001215934753
2024/05/14/15:15:59.206760,87234,1715714159,206376976,,0.25600001215934753
2024/05/14/15:15:59.216803,87235,1715714159,216373192,,0.25600001215934753
