time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2024/05/14/15:15:58.553402,42714,1715714158,553159956,base_link,-1.399794137349815e-05,0.0,0.0,0.0,0.0,7.952806786720108e-09
2024/05/14/15:15:58.573711,42715,1715714158,573130895,base_link,-2.206600780135906e-05,0.0,0.0,0.0,0.0,1.8072898637515847e-08
2024/05/14/15:15:58.593943,42716,1715714158,593663416,base_link,-2.2298980544176618e-05,0.0,0.0,0.0,0.0,7.199554579034216e-09
2024/05/14/15:15:58.613782,42717,1715714158,613509254,base_link,-2.1908362529921028e-05,0.0,0.0,0.0,0.0,5.590354363155507e-09
2024/05/14/15:15:58.633097,42718,1715714158,632891147,base_link,-2.128784863398754e-05,0.0,0.0,0.0,0.0,4.918478831327451e-09
2024/05/14/15:15:58.653224,42719,1715714158,652968620,base_link,-2.0584017144238064e-05,0.0,0.0,0.0,0.0,4.5364072727931405e-09
2024/05/14/15:15:58.673300,42720,1715714158,673026844,base_link,-6.200162906093222e-05,0.0,0.0,0.0,0.0,-1.0044450685656833e-07
2024/05/14/15:15:58.694117,42721,1715714158,693789327,base_link,-7.324244622130974e-05,0.0,0.0,0.0,0.0,-5.0884560414419724e-08
2024/05/14/15:15:58.714037,42722,1715714158,713721765,base_link,-7.723643937644368e-05,0.0,0.0,0.0,0.0,-4.334380347744229e-08
2024/05/14/15:15:58.735189,42723,1715714158,733415547,base_link,-7.813379051383479e-05,0.0,0.0,0.0,0.0,-4.006015141537722e-08
2024/05/14/15:15:58.755843,42724,1715714158,753392714,base_link,-7.75337511205024e-05,0.0,0.0,0.0,0.0,-3.809689074540915e-08
2024/05/14/15:15:58.774501,42725,1715714158,774157410,base_link,-5.670247115552924e-05,0.0,0.0,0.0,0.0,1.8037025591590203e-08
2024/05/14/15:15:58.793347,42726,1715714158,793065628,base_link,-3.421987254235151e-05,0.0,0.0,0.0,0.0,1.6571493911062482e-08
2024/05/14/15:15:58.813254,42727,1715714158,812988824,base_link,-2.2046255779215037e-05,0.0,0.0,0.0,0.0,1.6176518851852993e-08
2024/05/14/15:15:58.833951,42728,1715714158,833670690,base_link,-1.461119247012365e-05,0.0,0.0,0.0,0.0,1.5894806626969088e-08
2024/05/14/15:15:58.853894,42729,1715714158,853523958,base_link,-9.719759667948084e-06,0.0,0.0,0.0,0.0,1.5651717553243847e-08
2024/05/14/15:15:58.874221,42730,1715714158,873527619,base_link,-6.336294225429002e-06,0.0,0.0,0.0,0.0,1.542839624085369e-08
2024/05/14/15:15:58.894142,42731,1715714158,893789784,base_link,-1.7159629643843337e-05,0.0,0.0,0.0,0.0,7.509973765638938e-09
2024/05/14/15:15:58.914176,42732,1715714158,913874292,base_link,-2.2174391029735547e-05,0.0,0.0,0.0,0.0,6.312014582900501e-09
2024/05/14/15:15:58.933244,42733,1715714158,932993805,base_link,-2.4619447619723926e-05,0.0,0.0,0.0,0.0,5.7947384707018675e-09
2024/05/14/15:15:58.953849,42734,1715714158,953553640,base_link,1.4652248336633543e-05,0.0,0.0,0.0,0.0,5.3590073381676506e-08
2024/05/14/15:15:58.973768,42735,1715714158,973270252,base_link,4.052381123867236e-05,0.0,0.0,0.0,0.0,8.888392472933145e-08
2024/05/14/15:15:58.993993,42736,1715714158,993709246,base_link,4.7120912201376456e-05,0.0,0.0,0.0,0.0,3.273100706978039e-08
2024/05/14/15:15:59.013742,42737,1715714159,13458059,base_link,4.9428632887480055e-05,0.0,0.0,0.0,0.0,2.4470637901481093e-08
2024/05/14/15:15:59.033856,42738,1715714159,33386821,base_link,4.9908665344230507e-05,0.0,0.0,0.0,0.0,2.105456130560415e-08
2024/05/14/15:15:59.053679,42739,1715714159,53424512,base_link,4.9508543023676116e-05,0.0,0.0,0.0,0.0,1.9135257689793035e-08
2024/05/14/15:15:59.075424,42740,1715714159,73643855,base_link,1.998450569977334e-05,0.0,0.0,0.0,0.0,-1.9131766028417423e-08
2024/05/14/15:15:59.093862,42741,1715714159,93603529,base_link,-3.008231678998043e-07,0.0,0.0,0.0,0.0,-1.333449598838617e-08
2024/05/14/15:15:59.113786,42742,1715714159,113476937,base_link,-1.0553497418615038e-05,0.0,0.0,0.0,0.0,-1.2367714467582688e-08
2024/05/14/15:15:59.133319,42743,1715714159,132946201,base_link,-1.6278957033432567e-05,0.0,0.0,0.0,0.0,-1.1892701662861928e-08
2024/05/14/15:15:59.153182,42744,1715714159,152909583,base_link,-1.963318405045055e-05,0.0,0.0,0.0,0.0,-1.1571944884771405e-08
2024/05/14/15:15:59.173568,42745,1715714159,173119625,base_link,-5.833564395179195e-06,0.0,0.0,0.0,0.0,-1.5685422162672992e-08
2024/05/14/15:15:59.193237,42746,1715714159,192936004,base_link,2.8645800258178996e-06,0.0,0.0,0.0,0.0,-5.497126464930406e-09
2024/05/14/15:15:59.214179,42747,1715714159,213056464,base_link,7.114523485886753e-06,0.0,0.0,0.0,0.0,-4.0034190578217685e-09
