time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2024/05/14/15:15:58.734976,87529,1715714158,732564158,gps,0.01829688964797817,-0.010685889983268266,-0.9414579416613175,0.3364639351658816,"(0.0025338456167567497, 0.0, 0.0, 0.0, 0.0025446478207159645, 0.0, 0.0, 0.0, 0.014107533114451398)",0.0004379724595210678,0.00039746414221704753,-0.0013950901049529338,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.012344751477438324,-0.02099188247545363,-0.0022973267964495384,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:15:58.742587,87530,1715714158,740570243,gps,0.01829688964797817,-0.010685889983268266,-0.9414579416613175,0.3364639351658816,"(0.0025338456167567497, 0.0, 0.0, 0.0, 0.0025446478207159645, 0.0, 0.0, 0.0, 0.014107533114451398)",0.0004176068482120349,-0.000628983653083206,-0.00037271835560867414,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.0046342880683295,-0.021967614656850137,0.016723076271090424,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:15:58.760549,87531,1715714158,757740896,gps,0.01828417068098757,-0.01067254675478134,-0.9414579752780097,0.3364649560261903,"(0.0025338456167567497, 0.0, 0.0, 0.0, 0.0025446478207159645, 0.0, 0.0, 0.0, 0.014107533114451398)",0.00018614272549963615,-0.0007475259243909794,-0.00042373313855697024,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0029879478741649144,0.00509891034806062,0.011264915404279756,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:15:58.764145,87532,1715714158,762194438,gps,0.01828417068098757,-0.01067254675478134,-0.9414579752780097,0.3364649560261903,"(0.0025338456167567497, 0.0, 0.0, 0.0, 0.0025446478207159645, 0.0, 0.0, 0.0, 0.014107533114451398)",6.728254966903351e-05,-0.00016209347152995192,-0.0009557410401922615,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.015702665152904832,-0.016269029230140102,0.017197229746251392,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:15:58.774289,87533,1715714158,772294816,gps,0.018282480872621753,-0.010685118698692405,-0.9414586070851413,0.3364628809792291,"(0.0025338456167567497, 0.0, 0.0, 0.0, 0.0025446478207159645, 0.0, 0.0, 0.0, 0.014107533114451398)",0.0008758735563486558,2.4511619988557167e-07,-0.0004997363834121952,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.002105008373243074,0.007141166284958956,0.022464816722424646,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:15:58.780472,87534,1715714158,780398364,gps,0.018282480872621753,-0.010685118698692405,-0.9414586070851413,0.3364628809792291,"(0.0025338456167567497, 0.0, 0.0, 0.0, 0.0025446478207159645, 0.0, 0.0, 0.0, 0.014107533114451398)",0.0004342875874694814,5.939354043155635e-05,-0.00038833608673008983,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.004946416023082089,-0.012559413235369103,0.01054620049531942,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:15:58.792684,87535,1715714158,792615288,gps,0.018289158783244587,-0.01068952200521981,-0.9414587996640326,0.33646183933019824,"(0.0025338456167567497, 0.0, 0.0, 0.0, 0.0025446478207159645, 0.0, 0.0, 0.0, 0.014107533114451398)",-0.00014124411372906106,0.0008642330657573797,5.205361697849517e-05,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.001011204779257333,-0.009559141520966872,-0.0018835068092031687,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:15:58.800117,87536,1715714158,800009089,gps,0.018289158783244587,-0.01068952200521981,-0.9414587996640326,0.33646183933019824,"(0.0025338456167567497, 0.0, 0.0, 0.0, 0.0025446478207159645, 0.0, 0.0, 0.0, 0.014107533114451398)",0.00038215626585881357,0.0006209095119672531,3.1231726824376224e-05,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.006845147993475115,-0.002643289983002727,0.010847575950851559,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:15:58.814118,87537,1715714158,814061752,gps,0.01828501087148959,-0.010695079595823876,-0.9414586695553403,0.3364622522200031,"(0.0025338456167567497, 0.0, 0.0, 0.0, 0.0025446478207159645, 0.0, 0.0, 0.0, 0.014107533114451398)",0.0004119040005673982,0.0007832473958877937,-1.978431934352785e-05,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.003246729605557493,-0.010140366466366282,0.02577990025911708,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:15:58.821591,87538,1715714158,821467367,gps,0.01828501087148959,-0.010695079595823876,-0.9414586695553403,0.3364622522200031,"(0.0025338456167567497, 0.0, 0.0, 0.0, 0.0025446478207159645, 0.0, 0.0, 0.0, 0.014107533114451398)",0.0005322953805555488,-5.810911099579519e-05,2.2902980576961584e-05,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.007616478516828766,0.0116726838850079,0.002469834059120901,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
