time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.brake_pedal
2024/05/14/15:21:28.129418,12578,1715714488,128852856,,0.25200000405311584
2024/05/14/15:21:28.140362,12579,1715714488,138875599,,0.25200000405311584
2024/05/14/15:21:28.149320,12580,1715714488,148851954,,0.25200000405311584
2024/05/14/15:21:28.159180,12581,1715714488,158847862,,0.25200000405311584
2024/05/14/15:21:28.169244,12582,1715714488,168885080,,0.25200000405311584
2024/05/14/15:21:28.179127,12583,1715714488,178853139,,0.25200000405311584
2024/05/14/15:21:28.189201,12584,1715714488,188879366,,0.25200000405311584
2024/05/14/15:21:28.199257,12585,1715714488,198924748,,0.25200000405311584
2024/05/14/15:21:28.209333,12586,1715714488,209110555,,0.25200000405311584
2024/05/14/15:21:28.219211,12587,1715714488,218904836,,0.25200000405311584
2024/05/14/15:21:28.229349,12588,1715714488,228882726,,0.25200000405311584
2024/05/14/15:21:28.239130,12589,1715714488,238868896,,0.25200000405311584
2024/05/14/15:21:28.249178,12590,1715714488,248888641,,0.25200000405311584
2024/05/14/15:21:28.259171,12591,1715714488,258887248,,0.25200000405311584
2024/05/14/15:21:28.270872,12592,1715714488,269497293,,0.25200000405311584
2024/05/14/15:21:28.279147,12593,1715714488,278869934,,0.25200000405311584
2024/05/14/15:21:28.291041,12594,1715714488,288645355,,0.25200000405311584
2024/05/14/15:21:28.303314,12595,1715714488,298890748,,0.25200000405311584
2024/05/14/15:21:28.312520,12596,1715714488,309139096,,0.25200000405311584
2024/05/14/15:21:28.325759,12597,1715714488,318894804,,0.25200000405311584
2024/05/14/15:21:28.331431,12598,1715714488,328691229,,0.25200000405311584
2024/05/14/15:21:28.339174,12599,1715714488,338889797,,0.25200000405311584
2024/05/14/15:21:28.348963,12600,1715714488,348637911,,0.25200000405311584
2024/05/14/15:21:28.359443,12601,1715714488,359156481,,0.25200000405311584
2024/05/14/15:21:28.369003,12602,1715714488,368667343,,0.25200000405311584
2024/05/14/15:21:28.378936,12603,1715714488,378636431,,0.25200000405311584
2024/05/14/15:21:28.388985,12604,1715714488,388655880,,0.25200000405311584
2024/05/14/15:21:28.399033,12605,1715714488,398658485,,0.25200000405311584
2024/05/14/15:21:28.409496,12606,1715714488,409159455,,0.25200000405311584
2024/05/14/15:21:28.419752,12607,1715714488,418664314,,0.25200000405311584
2024/05/14/15:21:28.429018,12608,1715714488,428659771,,0.25200000405311584
2024/05/14/15:21:28.439080,12609,1715714488,438698156,,0.25200000405311584
2024/05/14/15:21:28.449059,12610,1715714488,448681710,,0.25200000405311584
2024/05/14/15:21:28.459490,12611,1715714488,459154751,,0.25200000405311584
