time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2024/05/14/15:21:28.073556,59190,1715714488,73319939,map,34.80484140062109,-4.050649243426148,-1.1313446760177612,0.0017626721306991276,0.016880474111431037,-0.1496056886571197,0.988600060945862
2024/05/14/15:21:28.093598,59191,1715714488,93367835,map,34.80461187482638,-4.050569139868973,-1.1313446760177612,0.0017626846380451753,0.016880472805399633,-0.14960642114619366,0.9885999500973894
2024/05/14/15:21:28.114308,59192,1715714488,113434922,map,34.804902643718854,-4.050670280463603,-1.1299349069595337,0.0017785541621197088,0.01687119572087917,-0.14960639425739897,0.9886000841074918
2024/05/14/15:21:28.134345,59193,1715714488,133639422,map,34.80516083813228,-4.050760024473048,-1.1299349069595337,0.001778548561724276,0.016871196311269498,-0.14960606609148056,0.988600133769297
2024/05/14/15:21:28.153347,59194,1715714488,153081928,map,34.8053918142531,-4.050840237088983,-1.1299349069595337,0.0017785431141960828,0.01687119688554285,-0.14960574688310666,0.9886001820754374
2024/05/14/15:21:28.173229,59195,1715714488,172991417,map,34.8055994814126,-4.05091229312253,-1.1299349069595337,0.0017785378227903837,0.016871197443356207,-0.14960543682302554,0.9886002289970561
2024/05/14/15:21:28.193569,59196,1715714488,193106335,map,34.80578742261441,-4.050977434759262,-1.1299349069595337,0.001778532663451504,0.01687119798724563,-0.14960513450164906,0.9886002747474754
2024/05/14/15:21:28.218538,59197,1715714488,213476080,map,34.80554174990889,-4.05089353555566,-1.1277283430099487,0.0017760817000207984,0.016842451016210767,-0.14960546744415568,0.9886007189398445
2024/05/14/15:21:28.233927,59198,1715714488,233774458,map,34.805323296165305,-4.050819162456961,-1.1277283430099487,0.0017760851206833632,0.01684245065549236,-0.1496056682266577,0.9886006885553018
2024/05/14/15:21:28.253797,59199,1715714488,253527760,map,34.80512765419994,-4.050752778266282,-1.1277283430099487,0.0017760884481760422,0.016842450304598303,-0.14960586354036862,0.9886006589983147
