time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2024/05/14/15:21:28.280733,120484,1715714488,279703174,gps,0.0196716811976696,-0.011220601882162503,-0.9303722321079488,0.3659161553890891,"(0.0020672938625967974, 0.0, 0.0, 0.0, 0.0020758767504958087, 0.0, 0.0, 0.0, 0.014740447157082726)",0.0006252887831579262,-0.00024375520069758256,-0.00015806439338564673,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.006389291161615972,-0.0012228673145232517,-0.0016728769115385066,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:21:28.294888,120485,1715714488,292742452,gps,0.019668550835871157,-0.011213651129427163,-0.9303738524285632,0.3659124169163956,"(0.0020672938625967974, 0.0, 0.0, 0.0, 0.0020758767504958087, 0.0, 0.0, 0.0, 0.014740447157082726)",1.2576877223751172e-05,-0.00040173398856800316,-4.770426813442347e-05,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.0010451369276797322,-0.0029887208736065363,-0.015895250451096268,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:21:28.303319,120486,1715714488,300295319,gps,0.019668550835871157,-0.011213651129427163,-0.9303738524285632,0.3659124169163956,"(0.0020672938625967974, 0.0, 0.0, 0.0, 0.0020758767504958087, 0.0, 0.0, 0.0, 0.014740447157082726)",0.000678435184127422,-0.0016068727090451096,0.0004137064243136986,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0031726735871111613,-0.010117887695368812,0.0013242403099706574,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:21:28.315629,120487,1715714488,310805382,gps,0.01965880247322754,-0.01121641001650385,-0.9303728823009441,0.3659153228695051,"(0.0020672938625967974, 0.0, 0.0, 0.0, 0.0020758767504958087, 0.0, 0.0, 0.0, 0.014740447157082726)",0.0005784765613157419,7.843761181441992e-05,8.139568840426948e-05,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0027370249641545928,0.012149329713424941,-0.006212764004645883,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:21:28.325822,120488,1715714488,319842185,gps,0.01965880247322754,-0.01121641001650385,-0.9303728823009441,0.3659153228695051,"(0.0020672938625967974, 0.0, 0.0, 0.0, 0.0020758767504958087, 0.0, 0.0, 0.0, 0.014740447157082726)",-0.0005543639979048793,0.00019068539002182967,-9.872104818820833e-05,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.013115752330158558,0.00492709868095797,-0.0076420648245364335,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:21:28.335232,120489,1715714488,333814582,gps,0.019669615229685636,-0.01121933345527354,-0.9303697661542151,0.3659225751708774,"(0.0020672938625967974, 0.0, 0.0, 0.0, 0.0020758767504958087, 0.0, 0.0, 0.0, 0.014740447157082726)",-0.00011953626405816477,0.0004370075646395309,0.0006009227123442558,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.01833330804275203,-0.005625777135152666,0.008548349588779086,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:21:28.340246,120490,1715714488,340087333,gps,0.019669615229685636,-0.01121933345527354,-0.9303697661542151,0.3659225751708774,"(0.0020672938625967974, 0.0, 0.0, 0.0, 0.0020758767504958087, 0.0, 0.0, 0.0, 0.014740447157082726)",0.0006711539405946453,-1.253680192393735e-05,0.000806213948199383,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.02271986414822756,0.011343809304068576,-0.021633838750876506,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:21:28.361625,120491,1715714488,361558095,gps,0.019668125403419022,-0.011219360213696482,-0.9303696025009294,0.3659230705240835,"(0.0020672938625967974, 0.0, 0.0, 0.0, 0.0020758767504958087, 0.0, 0.0, 0.0, 0.014740447157082726)",-0.00020171598236372402,0.00033203426449956243,0.0002989931720193645,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.005434228530629558,-0.009931012607103488,-0.012768774974002266,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:21:28.365134,120492,1715714488,365075651,gps,0.019668125403419022,-0.011219360213696482,-0.9303696025009294,0.3659230705240835,"(0.0020672938625967974, 0.0, 0.0, 0.0, 0.0020758767504958087, 0.0, 0.0, 0.0, 0.014740447157082726)",0.0005295853772081142,0.00018652757814019078,0.00022194928116771965,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.001263842728641417,-0.00038326060365393626,0.03326321154654143,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:21:28.371308,120493,1715714488,371250904,gps,0.019659163476515973,-0.011220839467859588,-0.9303706713493893,0.3659207891688128,"(0.0020672938625967974, 0.0, 0.0, 0.0, 0.0020758767504958087, 0.0, 0.0, 0.0, 0.014740447157082726)",0.00033713784441986584,2.231269253880245e-05,-4.1458293800990686e-05,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.008984603522320308,0.0022673493388755267,0.008695869753567833,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
