time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2024/05/14/15:21:28.093637,59191,1715714488,93371477,base_link,-4.299889461533405e-05,0.0,0.0,0.0,0.0,-1.722280664617474e-08
2024/05/14/15:21:28.114330,59192,1715714488,113442680,base_link,-1.3127671173310848e-05,0.0,0.0,0.0,0.0,4.7302121481113885e-09
2024/05/14/15:21:28.134571,59193,1715714488,133643909,base_link,5.293913676764569e-06,0.0,0.0,0.0,0.0,1.6085725902717817e-08
2024/05/14/15:21:28.153356,59194,1715714488,153085249,base_link,1.72315133280143e-05,0.0,0.0,0.0,0.0,2.2871940661530825e-08
2024/05/14/15:21:28.173239,59195,1715714488,172993880,base_link,2.1441062824240988e-05,0.0,0.0,0.0,0.0,9.50962784800157e-09
2024/05/14/15:21:28.193603,59196,1715714488,193108958,base_link,2.332389744903298e-05,0.0,0.0,0.0,0.0,7.171866902036965e-09
2024/05/14/15:21:28.218562,59197,1715714488,213481660,base_link,7.014952439034074e-07,0.0,0.0,0.0,0.0,-4.499264148202239e-09
2024/05/14/15:21:28.233971,59198,1715714488,233779091,base_link,-1.375004373427735e-05,0.0,0.0,0.0,0.0,-1.0681410271113362e-08
2024/05/14/15:21:28.253824,59199,1715714488,253531039,base_link,-2.3337278523486823e-05,0.0,0.0,0.0,0.0,-1.4422409052147686e-08
2024/05/14/15:21:28.273729,59200,1715714488,273435286,base_link,-2.442463016110722e-05,0.0,0.0,0.0,0.0,-5.043489614960013e-09
2024/05/14/15:21:28.296416,59201,1715714488,293731984,base_link,-2.452807947542473e-05,0.0,0.0,0.0,0.0,-3.6681046296664518e-09
2024/05/14/15:21:28.319275,59202,1715714488,313479940,base_link,-3.305960552151933e-05,0.0,0.0,0.0,0.0,-2.136858654200826e-08
2024/05/14/15:21:28.335140,59203,1715714488,333618633,base_link,-3.786227232817564e-05,0.0,0.0,0.0,0.0,-3.0513836754486616e-08
2024/05/14/15:21:28.353108,59204,1715714488,352875578,base_link,-4.0553019550510146e-05,0.0,0.0,0.0,0.0,-3.5925366974822455e-08
2024/05/14/15:21:28.373820,59205,1715714488,373531022,base_link,-3.4372451907174254e-05,0.0,0.0,0.0,0.0,-1.1792493367168254e-08
2024/05/14/15:21:28.393919,59206,1715714488,393509970,base_link,-3.050380386093588e-05,0.0,0.0,0.0,0.0,-8.269356682263925e-09
2024/05/14/15:21:28.414479,59207,1715714488,414074994,base_link,6.240328257773275e-06,0.0,0.0,0.0,0.0,5.032661431322675e-09
2024/05/14/15:21:28.434213,59208,1715714488,433954045,base_link,2.905971391336995e-05,0.0,0.0,0.0,0.0,1.1974016315431023e-08
2024/05/14/15:21:28.457260,59209,1715714488,453762596,base_link,4.3816113746474515e-05,0.0,0.0,0.0,0.0,1.6137467969262615e-08
2024/05/14/15:21:28.473816,59210,1715714488,473565575,base_link,4.388420046127757e-05,0.0,0.0,0.0,0.0,5.64281214694839e-09
2024/05/14/15:21:28.494697,59211,1715714488,494388621,base_link,4.305670537554429e-05,0.0,0.0,0.0,0.0,4.10494453528398e-09
2024/05/14/15:21:28.513428,59212,1715714488,513162056,base_link,6.92369884039603e-06,0.0,0.0,0.0,0.0,-7.482546781975115e-09
2024/05/14/15:21:28.533423,59213,1715714488,533168918,base_link,-1.5618658839166215e-05,0.0,0.0,0.0,0.0,-1.350971663405147e-08
2024/05/14/15:21:28.554039,59214,1715714488,553729794,base_link,-3.028453438599358e-05,0.0,0.0,0.0,0.0,-1.7109136102744863e-08
2024/05/14/15:21:28.573328,59215,1715714488,573046468,base_link,-3.2817868199057034e-05,0.0,0.0,0.0,0.0,-5.820018285475535e-09
2024/05/14/15:21:28.593333,59216,1715714488,593056311,base_link,-3.343975687627612e-05,0.0,0.0,0.0,0.0,-4.168524129454482e-09
2024/05/14/15:21:28.613674,59217,1715714488,613392862,base_link,-7.196532724176289e-06,0.0,0.0,0.0,0.0,2.4599719450430332e-08
2024/05/14/15:21:28.633864,59218,1715714488,633577136,base_link,9.310165228887842e-06,0.0,0.0,0.0,0.0,3.952544760784295e-08
2024/05/14/15:21:28.653270,59219,1715714488,652991181,base_link,1.9320959494633622e-05,0.0,0.0,0.0,0.0,3.335134892623043e-08
2024/05/14/15:21:28.673273,59220,1715714488,673027608,base_link,2.1799636824829343e-05,0.0,0.0,0.0,0.0,1.2089438480304418e-08
2024/05/14/15:21:28.693264,59221,1715714488,692993398,base_link,2.2692562339631944e-05,0.0,0.0,0.0,0.0,8.682493138764944e-09
2024/05/14/15:21:28.713519,59222,1715714488,713218087,base_link,3.279914815175907e-05,0.0,0.0,0.0,0.0,-4.862016142068822e-09
2024/05/14/15:21:28.733409,59223,1715714488,733148426,base_link,3.8626583778591995e-05,0.0,0.0,0.0,0.0,-1.1985238998277126e-08
2024/05/14/15:21:28.753164,59224,1715714488,752887307,base_link,4.201137902571474e-05,0.0,0.0,0.0,0.0,-1.627836499574156e-08
2024/05/14/15:21:28.773288,59225,1715714488,773042021,base_link,3.595709839773989e-05,0.0,0.0,0.0,0.0,-5.708719372443065e-09
2024/05/14/15:21:28.794406,59226,1715714488,794066794,base_link,3.212644278034501e-05,0.0,0.0,0.0,0.0,-4.159023540879704e-09
2024/05/14/15:21:28.813627,59227,1715714488,813269203,base_link,7.760705915898378e-06,0.0,0.0,0.0,0.0,2.846697482368045e-08
2024/05/14/15:21:28.834018,59228,1715714488,833771991,base_link,-7.530312820920703e-06,0.0,0.0,0.0,0.0,4.539183082941758e-08
2024/05/14/15:21:28.853605,59229,1715714488,853369574,base_link,-1.7549754484261567e-05,0.0,0.0,0.0,0.0,5.5462418839598656e-08
2024/05/14/15:21:28.874036,59230,1715714488,873721610,base_link,-1.989734945635388e-05,0.0,0.0,0.0,0.0,1.8547986582744934e-08
2024/05/14/15:21:28.893889,59231,1715714488,893558452,base_link,-2.0704268998507927e-05,0.0,0.0,0.0,0.0,1.3153197582307817e-08
2024/05/14/15:21:28.913383,59232,1715714488,913101165,base_link,-1.3120878095076063e-05,0.0,0.0,0.0,0.0,3.518896466369501e-08
2024/05/14/15:21:28.933971,59233,1715714488,933676035,base_link,-8.1690589090065e-06,0.0,0.0,0.0,0.0,4.651947611856328e-08
2024/05/14/15:21:28.953944,59234,1715714488,953647409,base_link,-4.766102939635222e-06,0.0,0.0,0.0,0.0,5.3179972888756356e-08
2024/05/14/15:21:28.973851,59235,1715714488,973492801,base_link,-1.916495117126317e-06,0.0,0.0,0.0,0.0,1.7186995800686092e-08
2024/05/14/15:21:28.993310,59236,1715714488,993053845,base_link,-4.029834310594862e-07,0.0,0.0,0.0,0.0,1.1936906538147837e-08
2024/05/14/15:21:29.013339,59237,1715714489,13085117,base_link,-1.282102825003904e-06,0.0,0.0,0.0,0.0,-1.9986352526395214e-08
2024/05/14/15:21:29.033403,59238,1715714489,33107301,base_link,-1.874242431927189e-06,0.0,0.0,0.0,0.0,-3.65950813842559e-08
2024/05/14/15:21:29.053170,59239,1715714489,52940764,base_link,-2.295288591464363e-06,0.0,0.0,0.0,0.0,-4.651704211331504e-08
2024/05/14/15:21:29.074179,59240,1715714489,73946370,base_link,-2.1349170748116096e-06,0.0,0.0,0.0,0.0,-1.5850801272085128e-08
2024/05/14/15:21:29.093311,59241,1715714489,92990827,base_link,-2.037279226881713e-06,0.0,0.0,0.0,0.0,-1.1364160193650186e-08
2024/05/14/15:21:29.113123,59242,1715714489,112914007,base_link,1.5906223890573772e-06,0.0,0.0,0.0,0.0,-2.6699216211624762e-08
2024/05/14/15:21:29.133174,59243,1715714489,132910217,base_link,3.7218228349428647e-06,0.0,0.0,0.0,0.0,-3.45702005733243e-08
2024/05/14/15:21:29.153124,59244,1715714489,152921562,base_link,5.000392773733162e-06,0.0,0.0,0.0,0.0,-3.918553630626388e-08
2024/05/14/15:21:29.173162,59245,1715714489,172936408,base_link,4.718751328895379e-06,0.0,0.0,0.0,0.0,-1.2605807518943948e-08
2024/05/14/15:21:29.193166,59246,1715714489,192952352,base_link,3.7208669617956685e-05,0.0,0.0,0.0,0.0,-2.8301965977009114e-08
2024/05/14/15:21:29.213395,59247,1715714489,213039429,base_link,5.502994401008691e-05,0.0,0.0,0.0,0.0,-3.4184274712557346e-08
2024/05/14/15:21:29.233313,59248,1715714489,233062421,base_link,6.525834163251539e-05,0.0,0.0,0.0,0.0,-3.705369709527666e-08
2024/05/14/15:21:29.253375,59249,1715714489,253082107,base_link,7.117772776728422e-05,0.0,0.0,0.0,0.0,-3.8613582335386616e-08
2024/05/14/15:21:29.273601,59250,1715714489,273364607,base_link,6.101110704915493e-05,0.0,0.0,0.0,0.0,-1.1825727134960789e-08
2024/05/14/15:21:29.293795,59251,1715714489,293475319,base_link,5.456216003040883e-05,0.0,0.0,0.0,0.0,-7.929169810515946e-09
2024/05/14/15:21:29.313179,59252,1715714489,312936029,base_link,2.6210858669926834e-05,0.0,0.0,0.0,0.0,1.8716380274840645e-09
2024/05/14/15:21:29.333635,59253,1715714489,333314349,base_link,8.12890037336595e-06,0.0,0.0,0.0,0.0,6.997598574528177e-09
2024/05/14/15:21:29.353332,59254,1715714489,352952943,base_link,-3.957748256935608e-06,0.0,0.0,0.0,0.0,1.0081535226824162e-08
2024/05/14/15:21:29.373932,59255,1715714489,373685608,base_link,-1.007236701310286e-05,0.0,0.0,0.0,0.0,3.6215932923811623e-09
2024/05/14/15:21:29.393354,59256,1715714489,393038591,base_link,-1.3021572751958174e-05,0.0,0.0,0.0,0.0,2.6733178801314958e-09
2024/05/14/15:21:29.413949,59257,1715714489,413498907,base_link,-4.497442263084161e-05,0.0,0.0,0.0,0.0,5.05556460840476e-08
2024/05/14/15:21:29.433727,59258,1715714489,433455137,base_link,-6.410273492436011e-05,0.0,0.0,0.0,0.0,7.53387697748905e-08
2024/05/14/15:21:29.453409,59259,1715714489,453022322,base_link,-7.588608850229758e-05,0.0,0.0,0.0,0.0,9.004014372755635e-08
2024/05/14/15:21:29.473224,59260,1715714489,472960781,base_link,-6.812655407258934e-05,0.0,0.0,0.0,0.0,2.9782901991897294e-08
