time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.steering_wheel_angle
2024/05/14/15:21:28.334863,12598,1715714488,329630975,,0.0
2024/05/14/15:21:28.340259,12599,1715714488,339880898,,0.0
2024/05/14/15:21:28.349902,12600,1715714488,349630801,,0.0
2024/05/14/15:21:28.360683,12601,1715714488,360387989,,0.0
2024/05/14/15:21:28.369860,12602,1715714488,369629922,,0.0
2024/05/14/15:21:28.380121,12603,1715714488,379880127,,0.0
2024/05/14/15:21:28.389878,12604,1715714488,389630517,,0.0
2024/05/14/15:21:28.400275,12605,1715714488,399934135,,0.0
2024/05/14/15:21:28.410537,12606,1715714488,410154087,,0.0
2024/05/14/15:21:28.422819,12607,1715714488,421407696,,0.0
2024/05/14/15:21:28.430859,12608,1715714488,429655783,,0.0
2024/05/14/15:21:28.440218,12609,1715714488,439902479,,0.0
2024/05/14/15:21:28.449953,12610,1715714488,449650659,,0.0
2024/05/14/15:21:28.460729,12611,1715714488,460403764,,0.0
2024/05/14/15:21:28.469971,12612,1715714488,469655727,,0.0
2024/05/14/15:21:28.480197,12613,1715714488,479899728,,0.0
2024/05/14/15:21:28.489938,12614,1715714488,489651862,,0.0
2024/05/14/15:21:28.500196,12615,1715714488,499919899,,0.0
2024/05/14/15:21:28.510448,12616,1715714488,510171587,,0.0
2024/05/14/15:21:28.527983,12617,1715714488,521421734,,0.0
2024/05/14/15:21:28.530033,12618,1715714488,529673066,,0.0
2024/05/14/15:21:28.540211,12619,1715714488,539922377,,0.0
2024/05/14/15:21:28.550009,12620,1715714488,549671040,,0.0
2024/05/14/15:21:28.564185,12621,1715714488,560211596,,0.0
2024/05/14/15:21:28.569984,12622,1715714488,569670157,,0.0
2024/05/14/15:21:28.582635,12623,1715714488,579926396,,0.0
2024/05/14/15:21:28.590573,12624,1715714488,589670995,,0.0
2024/05/14/15:21:28.600466,12625,1715714488,599977279,,0.0
2024/05/14/15:21:28.610697,12626,1715714488,610224265,,0.0
2024/05/14/15:21:28.622079,12627,1715714488,621444855,,0.0
2024/05/14/15:21:28.630054,12628,1715714488,629689709,,0.0
2024/05/14/15:21:28.640394,12629,1715714488,639990066,,0.0
2024/05/14/15:21:28.650028,12630,1715714488,649717925,,0.0
2024/05/14/15:21:28.660707,12631,1715714488,660190527,,0.0
2024/05/14/15:21:28.669995,12632,1715714488,669692626,,0.0
2024/05/14/15:21:28.680278,12633,1715714488,679944003,,0.0
2024/05/14/15:21:28.690411,12634,1715714488,689710225,,0.0
2024/05/14/15:21:28.700584,12635,1715714488,699960683,,0.0
2024/05/14/15:21:28.710559,12636,1715714488,710210461,,0.0
2024/05/14/15:21:28.721810,12637,1715714488,721459528,,0.0
2024/05/14/15:21:28.730087,12638,1715714488,729718117,,0.0
2024/05/14/15:21:28.740457,12639,1715714488,740010961,,0.0
2024/05/14/15:21:28.750040,12640,1715714488,749734715,,0.0
2024/05/14/15:21:28.760607,12641,1715714488,760210263,,0.0
2024/05/14/15:21:28.770031,12642,1715714488,769709174,,0.0
2024/05/14/15:21:28.780338,12643,1715714488,779960316,,0.0
2024/05/14/15:21:28.790025,12644,1715714488,789728109,,0.0
2024/05/14/15:21:28.800276,12645,1715714488,799979681,,0.0
2024/05/14/15:21:28.810445,12646,1715714488,809977724,,0.0
2024/05/14/15:21:28.821816,12647,1715714488,821479812,,0.0
2024/05/14/15:21:28.830057,12648,1715714488,829728383,,0.0
2024/05/14/15:21:28.840314,12649,1715714488,839978632,,0.0
2024/05/14/15:21:28.850035,12650,1715714488,849730806,,0.0
2024/05/14/15:21:28.860843,12651,1715714488,860508265,,0.0
2024/05/14/15:21:28.870020,12652,1715714488,869729714,,0.0
2024/05/14/15:21:28.880332,12653,1715714488,879978511,,0.0
2024/05/14/15:21:28.890054,12654,1715714488,889730397,,0.0
2024/05/14/15:21:28.900351,12655,1715714488,899997301,,0.0
2024/05/14/15:21:28.910587,12656,1715714488,910250289,,0.0
2024/05/14/15:21:28.921829,12657,1715714488,921502383,,0.0
2024/05/14/15:21:28.930078,12658,1715714488,929752155,,0.0
2024/05/14/15:21:28.940294,12659,1715714488,939995626,,0.0
2024/05/14/15:21:28.950043,12660,1715714488,949750452,,0.0
2024/05/14/15:21:28.960542,12661,1715714488,960246517,,0.0
2024/05/14/15:21:28.970048,12662,1715714488,969750870,,0.0
2024/05/14/15:21:28.980313,12663,1715714488,980000136,,0.0
2024/05/14/15:21:28.990191,12664,1715714488,989755333,,0.0
2024/05/14/15:21:29.000316,12665,1715714489,20001,,0.0
2024/05/14/15:21:29.010828,12666,1715714489,10290924,,0.0
2024/05/14/15:21:29.024486,12667,1715714489,21270660,,0.0
2024/05/14/15:21:29.030142,12668,1715714489,29769649,,0.0
2024/05/14/15:21:29.041129,12669,1715714489,40016035,,0.0
2024/05/14/15:21:29.049756,12670,1715714489,49514431,,0.0
2024/05/14/15:21:29.060564,12671,1715714489,60266526,,0.0
2024/05/14/15:21:29.069876,12672,1715714489,69513945,,0.0
2024/05/14/15:21:29.080283,12673,1715714489,80016710,,0.0
2024/05/14/15:21:29.090087,12674,1715714489,89788831,,0.0
2024/05/14/15:21:29.100515,12675,1715714489,100062869,,0.0
2024/05/14/15:21:29.110741,12676,1715714489,110425196,,0.0
2024/05/14/15:21:29.121534,12677,1715714489,121287804,,0.0
2024/05/14/15:21:29.129925,12678,1715714489,129541865,,0.0
2024/05/14/15:21:29.140400,12679,1715714489,140036411,,0.0
2024/05/14/15:21:29.149814,12680,1715714489,149537532,,0.0
2024/05/14/15:21:29.160696,12681,1715714489,160356824,,0.0
2024/05/14/15:21:29.169791,12682,1715714489,169539659,,0.0
2024/05/14/15:21:29.180360,12683,1715714489,180036447,,0.0
2024/05/14/15:21:29.189843,12684,1715714489,189536536,,0.0
2024/05/14/15:21:29.200087,12685,1715714489,199804261,,0.0
2024/05/14/15:21:29.210808,12686,1715714489,210479551,,0.0
2024/05/14/15:21:29.221892,12687,1715714489,221314080,,0.0
2024/05/14/15:21:29.229877,12688,1715714489,229555642,,0.0
2024/05/14/15:21:29.240330,12689,1715714489,240057672,,0.0
2024/05/14/15:21:29.249873,12690,1715714489,249557530,,0.0
2024/05/14/15:21:29.260771,12691,1715714489,260314397,,0.0
2024/05/14/15:21:29.269790,12692,1715714489,269554411,,0.0
2024/05/14/15:21:29.280105,12693,1715714489,279804392,,0.0
2024/05/14/15:21:29.289851,12694,1715714489,289576893,,0.0
2024/05/14/15:21:29.300167,12695,1715714489,299853644,,0.0
2024/05/14/15:21:29.310716,12696,1715714489,310422581,,0.0
2024/05/14/15:21:29.321835,12697,1715714489,321369866,,0.0
2024/05/14/15:21:29.329844,12698,1715714489,329572743,,0.0
2024/05/14/15:21:29.340111,12699,1715714489,339824887,,0.0
2024/05/14/15:21:29.349901,12700,1715714489,349575460,,0.0
2024/05/14/15:21:29.360391,12701,1715714489,360072969,,0.0
2024/05/14/15:21:29.369843,12702,1715714489,369572983,,0.0
2024/05/14/15:21:29.380123,12703,1715714489,379827201,,0.0
2024/05/14/15:21:29.389893,12704,1715714489,389593202,,0.0
2024/05/14/15:21:29.400171,12705,1715714489,399846369,,0.0
2024/05/14/15:21:29.410426,12706,1715714489,410095026,,0.0
2024/05/14/15:21:29.422958,12707,1715714489,421463036,,0.0
2024/05/14/15:21:29.429957,12708,1715714489,429593415,,0.0
2024/05/14/15:21:29.440199,12709,1715714489,439843810,,0.0
2024/05/14/15:21:29.449963,12710,1715714489,449606949,,0.0
2024/05/14/15:21:29.460554,12711,1715714489,460098728,,0.0
2024/05/14/15:21:29.469884,12712,1715714489,469593055,,0.0
2024/05/14/15:21:29.480170,12713,1715714489,479842802,,0.0
2024/05/14/15:21:29.490009,12714,1715714489,489615096,,0.0
2024/05/14/15:21:29.500140,12715,1715714489,499862725,,0.0
2024/05/14/15:21:29.510534,12716,1715714489,510114217,,0.0
2024/05/14/15:21:29.523827,12717,1715714489,521363632,,0.0
2024/05/14/15:21:29.531513,12718,1715714489,529615852,,0.0
2024/05/14/15:21:29.540190,12719,1715714489,539894630,,0.0
2024/05/14/15:21:29.549952,12720,1715714489,549615026,,0.0
2024/05/14/15:21:29.560642,12721,1715714489,560115966,,0.0
2024/05/14/15:21:29.569882,12722,1715714489,569611496,,0.0
2024/05/14/15:21:29.580232,12723,1715714489,579888025,,0.0
2024/05/14/15:21:29.589900,12724,1715714489,589615522,,0.0
2024/05/14/15:21:29.600160,12725,1715714489,599884597,,0.0
2024/05/14/15:21:29.610406,12726,1715714489,610131730,,0.0
2024/05/14/15:21:29.621747,12727,1715714489,621383592,,0.0
2024/05/14/15:21:29.629997,12728,1715714489,629663632,,0.0
2024/05/14/15:21:29.646368,12729,1715714489,639883460,,0.0
2024/05/14/15:21:29.649877,12730,1715714489,649632208,,0.0
2024/05/14/15:21:29.660453,12731,1715714489,660132313,,0.0
2024/05/14/15:21:29.669919,12732,1715714489,669632272,,0.0
2024/05/14/15:21:29.680161,12733,1715714489,679902316,,0.0
2024/05/14/15:21:29.689931,12734,1715714489,689652790,,0.0
2024/05/14/15:21:29.700311,12735,1715714489,699973331,,0.0
2024/05/14/15:21:29.710459,12736,1715714489,710153080,,0.0
2024/05/14/15:21:29.721773,12737,1715714489,721406840,,0.0
2024/05/14/15:21:29.729943,12738,1715714489,729653227,,0.0
2024/05/14/15:21:29.740273,12739,1715714489,739905322,,0.0
2024/05/14/15:21:29.749982,12740,1715714489,749654143,,0.0
2024/05/14/15:21:29.760516,12741,1715714489,760148154,,0.0
2024/05/14/15:21:29.769998,12742,1715714489,769684244,,0.0
2024/05/14/15:21:29.780273,12743,1715714489,779921082,,0.0
2024/05/14/15:21:29.789935,12744,1715714489,789670880,,0.0
2024/05/14/15:21:29.800295,12745,1715714489,799926173,,0.0
2024/05/14/15:21:29.810194,12746,1715714489,809921331,,0.0
2024/05/14/15:21:29.823637,12747,1715714489,821424161,,0.0
2024/05/14/15:21:29.838605,12748,1715714489,829673001,,0.0
2024/05/14/15:21:29.840306,12749,1715714489,839949094,,0.0
2024/05/14/15:21:29.849962,12750,1715714489,849670218,,0.0
2024/05/14/15:21:29.860755,12751,1715714489,860458589,,0.0
2024/05/14/15:21:29.869968,12752,1715714489,869669649,,0.0
2024/05/14/15:21:29.880311,12753,1715714489,879964059,,0.0
2024/05/14/15:21:29.889971,12754,1715714489,889690699,,0.0
2024/05/14/15:21:29.900284,12755,1715714489,899940288,,0.0
2024/05/14/15:21:29.910515,12756,1715714489,910188276,,0.0
2024/05/14/15:21:29.925903,12757,1715714489,921449234,,0.0
2024/05/14/15:21:29.934488,12758,1715714489,929689885,,0.0
2024/05/14/15:21:29.940253,12759,1715714489,939938434,,0.0
2024/05/14/15:21:29.950020,12760,1715714489,949690860,,0.0
2024/05/14/15:21:29.960680,12761,1715714489,960210583,,0.0
2024/05/14/15:21:29.970382,12762,1715714489,969691753,,0.0
