time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.steering_wheel_angle
2024/05/14/15:11:17.794596,59093,1715713877,794216093,,-0.054105207324028015
2024/05/14/15:11:17.804336,59094,1715713877,803965401,,-0.054105207324028015
2024/05/14/15:11:17.814493,59095,1715713877,814215553,,-0.054105207324028015
2024/05/14/15:11:17.826811,59096,1715713877,823988583,,-0.054105207324028015
2024/05/14/15:11:17.837021,59097,1715713877,835735712,,-0.054105207324028015
2024/05/14/15:11:17.844260,59098,1715713877,843983947,,-0.05585053563117981
2024/05/14/15:11:17.854463,59099,1715713877,854228562,,-0.054105207324028015
2024/05/14/15:11:17.864258,59100,1715713877,863984596,,-0.054105207324028015
2024/05/14/15:11:17.874506,59101,1715713877,874233709,,-0.054105207324028015
2024/05/14/15:11:17.884354,59102,1715713877,884007902,,-0.054105207324028015
2024/05/14/15:11:17.894572,59103,1715713877,894234675,,-0.054105207324028015
2024/05/14/15:11:17.904014,59104,1715713877,903729409,,-0.054105207324028015
2024/05/14/15:11:17.914490,59105,1715713877,914231913,,-0.054105207324028015
2024/05/14/15:11:17.925472,59106,1715713877,923753839,,-0.054105207324028015
2024/05/14/15:11:17.935870,59107,1715713877,935503051,,-0.054105207324028015
2024/05/14/15:11:17.944020,59108,1715713877,943753602,,-0.054105207324028015
2024/05/14/15:11:17.954524,59109,1715713877,954251945,,-0.054105207324028015
2024/05/14/15:11:17.964036,59110,1715713877,963751688,,-0.054105207324028015
2024/05/14/15:11:17.974580,59111,1715713877,974256816,,-0.054105207324028015
2024/05/14/15:11:17.984006,59112,1715713877,983749740,,-0.054105207324028015
2024/05/14/15:11:17.994618,59113,1715713877,994249164,,-0.054105207324028015
2024/05/14/15:11:18.004045,59114,1715713878,3769933,,-0.054105207324028015
2024/05/14/15:11:18.014534,59115,1715713878,14252276,,-0.05585053563117981
2024/05/14/15:11:18.024136,59116,1715713878,23794527,,-0.054105207324028015
2024/05/14/15:11:18.038960,59117,1715713878,37612981,,-0.054105207324028015
2024/05/14/15:11:18.044026,59118,1715713878,43768916,,-0.05585053563117981
2024/05/14/15:11:18.054585,59119,1715713878,54284270,,-0.054105207324028015
2024/05/14/15:11:18.064038,59120,1715713878,63770918,,-0.054105207324028015
2024/05/14/15:11:18.074369,59121,1715713878,74027062,,-0.054105207324028015
