time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2024/05/14/15:11:17.573704,28665,1715713877,573388420,base_link,-0.0001078671987129209,0.0,0.0,0.0,0.0,-5.441489228148368e-08
2024/05/14/15:11:17.593695,28666,1715713877,593451684,base_link,-9.257111078617996e-05,0.0,0.0,0.0,0.0,-1.731182408598154e-08
2024/05/14/15:11:17.613906,28667,1715713877,613257234,base_link,-7.047846650778402e-05,0.0,0.0,0.0,0.0,5.9725751490267295e-09
2024/05/14/15:11:17.636745,28668,1715713877,633610304,base_link,-5.893039195556165e-05,0.0,0.0,0.0,0.0,1.496024463295449e-08
2024/05/14/15:11:17.655133,28669,1715713877,653232403,base_link,-5.2789014821658656e-05,0.0,0.0,0.0,0.0,1.9550713754829485e-08
2024/05/14/15:11:17.676783,28670,1715713877,673899615,base_link,-4.9675829500635546e-05,0.0,0.0,0.0,0.0,2.2223807448212694e-08
2024/05/14/15:11:17.694263,28671,1715713877,694048975,base_link,-3.960416726046589e-05,0.0,0.0,0.0,0.0,7.154969849005452e-09
2024/05/14/15:11:17.713601,28672,1715713877,713063927,base_link,-3.448297627331137e-05,0.0,0.0,0.0,0.0,4.954342459079955e-09
2024/05/14/15:11:17.734023,28673,1715713877,733704782,base_link,-5.271339528780171e-05,0.0,0.0,0.0,0.0,1.3547913915486752e-08
2024/05/14/15:11:17.753739,28674,1715713877,753137625,base_link,-6.519954750034085e-05,0.0,0.0,0.0,0.0,1.7941747408784974e-08
2024/05/14/15:11:17.773833,28675,1715713877,773534152,base_link,-7.423280861587489e-05,0.0,0.0,0.0,0.0,2.0504190202316563e-08
2024/05/14/15:11:17.793874,28676,1715713877,793555514,base_link,-6.636695735778007e-05,0.0,0.0,0.0,0.0,6.620341218265477e-09
2024/05/14/15:11:17.813495,28677,1715713877,813144832,base_link,-6.182656508166875e-05,0.0,0.0,0.0,0.0,4.592345017270201e-09
2024/05/14/15:11:17.835150,28678,1715713877,833717118,base_link,-5.88451113285386e-05,0.0,0.0,0.0,0.0,3.763128812551081e-09
2024/05/14/15:11:17.853578,28679,1715713877,853356314,base_link,-7.111121129740503e-05,0.0,0.0,0.0,0.0,2.087218272707582e-09
2024/05/14/15:11:17.873877,28680,1715713877,873491731,base_link,-8.003837706526639e-05,0.0,0.0,0.0,0.0,1.033108909021964e-09
2024/05/14/15:11:17.893852,28681,1715713877,893307691,base_link,-7.109029893761012e-05,0.0,0.0,0.0,0.0,9.18333510997596e-11
2024/05/14/15:11:17.913375,28682,1715713877,913070229,base_link,-8.172201095039101e-05,0.0,0.0,0.0,0.0,3.5903403326017284e-08
2024/05/14/15:11:17.934363,28683,1715713877,933656847,base_link,-8.879802586101621e-05,0.0,0.0,0.0,0.0,4.952840703219511e-08
2024/05/14/15:11:17.953408,28684,1715713877,953034628,base_link,-9.38960540541517e-05,0.0,0.0,0.0,0.0,5.633563617211801e-08
2024/05/14/15:11:17.974036,28685,1715713877,973737634,base_link,-9.777138905688419e-05,0.0,0.0,0.0,0.0,6.017469553319366e-08
