time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2024/05/14/15:11:17.458828,28658,1715713877,432981440,map,34.365248816776706,-3.69617892195702,-1.1089998483657837,0.001924387368693292,0.01624100226992677,-0.14223152657323265,0.9896982971730178
2024/05/14/15:11:17.461005,28659,1715713877,453116251,map,34.3655211632545,-3.696332782822784,-1.1089998483657837,0.0019243118031926894,0.01624101122346284,-0.14222692174340643,0.9896989589314108
2024/05/14/15:11:17.473273,28660,1715713877,473065481,map,34.3657642828753,-3.696476797443107,-1.1089998483657837,0.001924236689306003,0.016241020123135167,-0.14222234443360918,0.9896996167132386
2024/05/14/15:11:17.493832,28661,1715713877,493624191,map,34.36598323048922,-3.696612622559049,-1.1089998483657837,0.0019241620480234202,0.01624102896646327,-0.14221779592295622,0.9897002703350847
2024/05/14/15:11:17.513404,28662,1715713877,513212850,map,34.36583032894333,-3.696623342136675,-1.109017252922058,0.0017122285867080236,0.01625505033221382,-0.1422113707189303,0.9897013527575919
2024/05/14/15:11:17.533847,28663,1715713877,533653732,map,34.36569254704078,-3.6966390454000377,-1.109017252922058,0.0017121785629077538,0.016255055601401797,-0.1422083249808546,0.9897017903985542
2024/05/14/15:11:17.554051,28664,1715713877,553801116,map,34.36556725199588,-3.6966588647330494,-1.109017252922058,0.001712128316474982,0.016255060893883764,-0.14220526568726355,0.989702229977673
2024/05/14/15:11:17.573644,28665,1715713877,573384538,map,34.36545246990342,-3.6966821453746954,-1.109017252922058,0.0017120778613133286,0.016255066208193232,-0.14220219368468537,0.9897026713731895
2024/05/14/15:11:17.593678,28666,1715713877,593448586,map,34.365348286157115,-3.696708853926315,-1.109017252922058,0.0017120271822796368,0.01625507154592315,-0.1421991080511122,0.9897031147174552
2024/05/14/15:11:17.613477,28667,1715713877,613254364,map,34.365709475885204,-3.696895066666228,-1.106613278388977,0.0018829767589895441,0.016222604773533374,-0.142197770635016,0.9897035291031946
2024/05/14/15:11:17.636100,28668,1715713877,633602662,map,34.366027892731886,-3.6970669095674054,-1.106613278388977,0.001882908392188705,0.016222612708802122,-0.14219359973466159,0.9897041283572509
2024/05/14/15:11:17.655112,28669,1715713877,653226327,map,34.366310520262125,-3.697226708513934,-1.106613278388977,0.0018828402271837334,0.016222620620357904,-0.14218944114492307,0.9897047258247185
2024/05/14/15:11:17.676758,28670,1715713877,673895155,map,34.36656280855941,-3.697376283928922,-1.106613278388977,0.0018827722565574957,0.016222628509064127,-0.14218529441330247,0.9897053215707641
2024/05/14/15:11:17.694251,28671,1715713877,694043886,map,34.36678981785828,-3.697517300926962,-1.106613278388977,0.0018827044851449663,0.016222636374362144,-0.1421811598347747,0.9897059155531632
2024/05/14/15:11:17.713582,28672,1715713877,713060094,map,34.36699414083744,-3.6976506675614482,-1.106613278388977,0.0018826368878647488,0.016222644219165187,-0.14217703587918504,0.9897065079918873
2024/05/14/15:11:17.734010,28673,1715713877,733700525,map,34.366934862805905,-3.69769323413584,-1.1090854406356812,0.001758541373681588,0.016346648711379093,-0.14217046391813407,0.9897056399745564
2024/05/14/15:11:17.753747,28674,1715713877,753133142,map,34.36687999585086,-3.6977372067404266,-1.1090854406356812,0.0017584757120376348,0.016346655775000447,-0.14216648844247504,0.9897062110404679
2024/05/14/15:11:17.773786,28675,1715713877,773530829,map,34.36682874358614,-3.697782325719207,-1.1090854406356812,0.001758410233600004,0.016346662818647495,-0.1421625240584453,0.9897067804968679
2024/05/14/15:11:17.793834,28676,1715713877,793551327,map,34.36678168659332,-3.697828742449941,-1.1090854406356812,0.0017583449428584888,0.01634666984183952,-0.14215857103788368,0.9897073483048464
2024/05/14/15:11:17.813417,28677,1715713877,813141314,map,34.36673690392553,-3.6978758779240444,-1.1090854406356812,0.0017582798164574595,0.01634667684709097,-0.1421546279667308,0.9897079146676477
2024/05/14/15:11:17.835105,28678,1715713877,833712739,map,34.366694195174034,-3.697923659304893,-1.1090854406356812,0.001758214856740905,0.01634668383415172,-0.14215069498690758,0.9897084795650094
2024/05/14/15:11:17.853567,28679,1715713877,853352993,map,34.366650638717815,-3.6979760481489303,-1.110215187072754,0.0018278122016547472,0.01633050333226245,-0.14214791491827178,0.9897090198880972
2024/05/14/15:11:17.873853,28680,1715713877,873487255,map,34.36660947094224,-3.698029168421655,-1.110215187072754,0.0018277468880168563,0.01633051064244158,-0.14214395658953416,0.9897095883988106
2024/05/14/15:11:17.893724,28681,1715713877,893303470,map,34.36657151513937,-3.6980832493482527,-1.110215187072754,0.0018276816362806669,0.016330517945428287,-0.14214000201184396,0.9897101563546488
2024/05/14/15:11:17.913338,28682,1715713877,913067271,map,34.36658241149535,-3.6981538600979653,-1.110295057296753,0.0017990477387907521,0.01634495143053603,-0.14213482577667366,0.9897107139419082
2024/05/14/15:11:17.934351,28683,1715713877,933651198,map,34.36658969743433,-3.6982231894243096,-1.110295057296753,0.0017989713083132147,0.016344959842865804,-0.14213019779911468,0.9897113785662726
2024/05/14/15:11:17.953357,28684,1715713877,953032133,map,34.36659386920795,-3.6982914089433616,-1.110295057296753,0.0017988952454127483,0.016344968214379044,-0.14212559207816597,0.9897120399724345
2024/05/14/15:11:17.974000,28685,1715713877,973734455,map,34.36659536673988,-3.6983586687232926,-1.110295057296753,0.0017988195352644301,0.016344976546712475,-0.14212100771616676,0.989712698289614
2024/05/14/15:11:17.993528,28686,1715713877,993228995,map,34.36659601658573,-3.6984255237311805,-1.110295057296753,0.0017987441940576624,0.016344984838089438,-0.14211644569341964,0.9897133533773484
