,PQ04,PQ07,PQ08,PQ10,PQ14,PQ15,PQ16,PQ18,PQ20,PQ22,PQ30
U01,6,6,5,6,6,5,1,5,7,2,5
U02,5,6,5,6,6,6,2,5,7,2,5
U03,4,5,5,6,5,5,2,3,6,1,4
U04,7,5,6,7,6,5,3,5,6,1,5
U05,6,4,5,6,5,5,2,6,6,2,5
U06,6,7,6,6,6,5,1,5,7,1,4
U07,5,5,6,6,6,5,4,5,7,2,6
U08,6,7,5,6,5,6,2,6,7,2,5
U09,4,5,4,5,6,6,3,5,5,3,4
U10,3,4,5,5,4,5,1,4,6,2,3
U11,6,5,6,7,5,5,2,5,7,1,5
U12,4,6,5,6,6,6,2,5,6,2,5
U13,7,7,6,5,5,7,2,6,7,1,4
U14,6,5,5,4,6,5,4,5,7,1,5
U15,5,6,6,5,6,6,3,6,7,1,6
U16,6,6,5,6,5,5,2,5,6,2,5
