,PQ01,PQ02,PQ03,PQ06,PQ09,PQ19,PQ21,PQ23,PQ24,PQ31
U01,7,7,7,7,7,1,7,1,7,7
U02,7,7,7,7,7,1,7,2,6,7
U03,6,7,6,7,7,1,6,2,6,6
U04,7,6,6,7,7,1,7,1,7,6
U05,7,7,7,6,6,1,7,1,6,7
U06,6,7,7,7,7,1,6,1,5,6
U07,6,7,6,6,6,1,6,1,6,6
U08,6,6,7,7,6,1,6,2,6,6
U09,5,6,5,6,6,3,5,2,5,5
U10,6,7,6,6,6,2,5,3,6,6
U11,6,7,7,7,7,1,6,2,7,6
U12,7,6,6,6,7,1,7,1,6,7
U13,7,7,6,7,6,1,6,1,6,7
U14,6,7,7,7,7,1,7,3,7,7
U15,7,6,6,7,6,1,7,1,6,7
U16,6,6,6,6,7,2,6,1,6,7
