,PQ04,PQ07,PQ08,PQ10,PQ14,PQ15,PQ16,PQ18,PQ20,PQ22,PQ30
U01,6,7,6,7,7,6,4,6,6,3,6
U02,6,6,5,6,7,6,4,6,6,2,6
U03,5,5,6,5,6,6,3,6,5,2,5
U04,6,7,7,6,7,6,3,6,7,2,5
U05,4,6,5,6,6,5,4,5,6,1,5
U06,6,5,6,6,7,7,3,6,7,2,6
U07,5,5,5,7,6,5,3,7,6,3,6
U08,7,6,6,6,7,6,3,6,7,1,6
U09,3,5,4,5,5,4,3,5,3,4,4
U10,4,5,5,5,6,6,2,6,4,4,5
U11,6,7,5,6,6,6,3,5,6,2,6
U12,5,6,6,7,6,6,2,5,5,1,6
U13,5,7,6,6,7,6,2,6,6,2,6
U14,5,7,5,5,7,7,3,5,7,2,6
U15,6,6,6,6,6,5,1,6,7,1,7
U16,5,6,5,6,7,5,3,5,5,3,6
