,PQ01,PQ02,PQ03,PQ06,PQ09,PQ19,PQ21,PQ23,PQ24,PQ31
U01,5,6,5,4,7,1,7,3,5,7
U02,6,5,6,6,7,1,6,2,6,7
U03,5,6,4,5,5,1,6,5,5,4
U04,6,5,5,5,6,2,6,2,6,7
U05,5,6,6,6,7,1,7,3,5,7
U06,5,6,5,5,7,1,6,2,5,7
U07,6,5,6,6,5,1,5,1,6,6
U08,4,7,6,5,6,1,6,2,5,5
U09,4,4,5,5,5,3,4,5,4,4
U10,4,5,5,6,6,2,5,4,5,4
U11,5,6,6,5,6,2,6,2,6,6
U12,6,6,6,6,7,1,7,2,6,7
U13,6,7,5,7,7,1,6,1,6,7
U14,5,6,5,5,6,1,6,3,7,7
U15,5,6,6,6,7,1,7,2,6,6
U16,5,5,5,6,6,2,5,2,5,5
