,PQ04,PQ07,PQ08,PQ10,PQ14,PQ15,PQ16,PQ18,PQ20,PQ22,PQ30
U01,6,6,5,6,6,5,2,5,7,2,6
U02,6,6,5,5,5,6,2,5,7,1,6
U03,5,6,6,6,5,5,3,5,6,1,5
U04,7,6,6,7,6,5,2,6,7,1,5
U05,7,5,6,5,6,6,3,5,6,1,6
U06,6,6,6,6,6,6,2,5,7,2,5
U07,6,5,5,6,6,5,2,6,7,2,6
U08,7,6,6,6,6,6,3,6,7,2,6
U09,5,4,5,5,5,6,4,5,5,4,4
U10,3,5,5,5,6,5,2,6,5,3,4
U11,6,5,7,6,5,6,1,5,6,2,6
U12,5,6,5,6,6,7,1,5,6,1,5
U13,7,6,6,5,6,7,2,7,7,1,6
U14,6,5,5,5,7,6,3,5,7,1,6
U15,6,5,6,6,6,5,2,6,7,1,6
U16,6,6,5,6,6,5,3,4,5,1,6
