,PQ01,PQ02,PQ03,PQ06,PQ09,PQ19,PQ21,PQ23,PQ24,PQ31
U01,6,7,6,5,7,1,7,1,7,7
U02,6,7,6,6,7,1,6,1,7,7
U03,5,6,5,6,6,1,5,4,5,5
U04,6,6,5,7,6,1,6,2,6,6
U05,6,7,6,6,7,1,7,2,5,7
U06,6,6,6,5,7,1,5,1,6,6
U07,6,6,6,6,6,1,5,1,6,6
U08,5,6,5,6,6,1,6,2,5,6
U09,4,5,4,5,5,2,4,3,5,5
U10,4,5,5,5,6,2,5,3,6,6
U11,5,6,6,6,6,1,6,2,6,6
U12,6,6,6,6,7,1,7,1,6,7
U13,6,7,5,7,6,1,7,1,5,7
U14,6,6,6,6,7,1,6,2,7,6
U15,6,6,6,6,7,1,7,1,6,7
U16,5,5,5,6,6,2,6,2,6,6
