time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2024/05/14/15:47:20.633389,136818,1715716040,633190234,map,34.200015837675714,-3.8593106927329517,-1.1068565845489502,0.0024163013754556046,0.016230418001980895,-0.13995325785672832,0.9900221313861788
2024/05/14/15:47:20.653856,136819,1715716040,653465923,map,34.20023689494417,-3.85938164422986,-1.1078311204910278,0.0024333069278429254,0.01624234492533837,-0.13995322730195864,0.9900218984530026
2024/05/14/15:47:20.673231,136820,1715716040,673003023,map,34.2004367410107,-3.8594455428153,-1.1078311204910278,0.0024333029994144436,0.01624234551386573,-0.13995298785191385,0.990021932302534
2024/05/14/15:47:20.693448,136821,1715716040,693281943,map,34.20061836002504,-3.859503377903116,-1.1078311204910278,0.002433299175675383,0.01624234608670838,-0.13995275478301833,0.9900219652499462
2024/05/14/15:47:20.713667,136822,1715716040,713451295,map,34.20078405508954,-3.8595559194376228,-1.1078311204910278,0.00243329545433864,0.016242346644209035,-0.13995252795586588,0.9900219973149504
2024/05/14/15:47:20.733678,136823,1715716040,733237316,map,34.20093594039673,-3.859603864965785,-1.1078311204910278,0.002433291827854791,0.01624234718749875,-0.13995230691029537,0.9900220285626011
2024/05/14/15:47:20.753908,136824,1715716040,753645008,map,34.20064711885327,-3.8595098072461256,-1.107480525970459,0.0024080483088225737,0.01624595702667485,-0.13995236183186716,0.9900220232910537
2024/05/14/15:47:20.773984,136825,1715716040,773705464,map,34.20038622266989,-3.85942503873984,-1.107480525970459,0.0024080558021181233,0.016245955915983355,-0.1399528184702555,0.9900219587392299
2024/05/14/15:47:20.793838,136826,1715716040,793618062,map,34.20014931135006,-3.8593482519847107,-1.107480525970459,0.0024080630949351095,0.01624595483500434,-0.1399532628915629,0.9900218959142443
2024/05/14/15:47:20.814065,136827,1715716040,813723096,map,34.19993342295526,-3.8592784526862465,-1.107480525970459,0.00240807019085419,0.016245953783207336,-0.13995369531399318,0.9900218347852676
2024/05/14/15:47:20.833908,136828,1715716040,833628442,map,34.19973563631116,-3.859214682025084,-1.107480525970459,0.0024080771057850684,0.016245952758234372,-0.13995411670707708,0.9900217752152584
2024/05/14/15:47:20.856723,136829,1715716040,853384090,map,34.19955284227361,-3.8591567210147413,-1.107682228088379,0.002268227261187522,0.016235668113945525,-0.13995268102005443,0.9900224771697278
2024/05/14/15:47:20.877741,136830,1715716040,873290910,map,34.199387695103894,-3.859104631679844,-1.107682228088379,0.0022682387984711834,0.016235666502108614,-0.1399533845433134,0.9900223777172196
2024/05/14/15:47:20.893215,136831,1715716040,892917642,map,34.19923771641604,-3.8590575904829185,-1.107682228088379,0.0022682500268866477,0.01623566493341466,-0.13995406923233242,0.9900222809266956
2024/05/14/15:47:20.913257,136832,1715716040,912995205,map,34.1991011834967,-3.859015011818654,-1.107682228088379,0.0022682609512807827,0.01623566340718717,-0.13995473538266484,0.990022186756415
2024/05/14/15:47:20.934175,136833,1715716040,933798726,map,34.19897602808424,-3.8589762252404785,-1.107682228088379,0.0022682715973859754,0.01623566191983172,-0.13995538456342657,0.9900220949845963
2024/05/14/15:47:20.961386,136834,1715716040,954546645,map,34.19919333583234,-3.85904609482345,-1.1068118810653687,0.002400819413800535,0.016253151164949256,-0.1399567761075303,0.9900212987430818
2024/05/14/15:47:20.973945,136835,1715716040,973593875,map,34.19938946289536,-3.859108921331743,-1.1068118810653687,0.0024008095127591713,0.016253152627469476,-0.1399561730096011,0.9900213840013042
2024/05/14/15:47:20.994055,136836,1715716040,993782535,map,34.19956743253553,-3.859165707260884,-1.1068118810653687,0.002400799877232234,0.016253154050763642,-0.13995558608484163,0.9900214669728127
