time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.steering_wheel_angle
2024/05/14/15:47:20.896831,119454,1715716040,896554630,,0.0
2024/05/14/15:47:20.907855,119455,1715716040,906836211,,0.0
2024/05/14/15:47:20.916953,119456,1715716040,916553558,,0.0
2024/05/14/15:47:20.927573,119457,1715716040,927075030,,0.0
2024/05/14/15:47:20.936840,119458,1715716040,936551020,,0.0
2024/05/14/15:47:20.947042,119459,1715716040,946820845,,0.0
2024/05/14/15:47:20.961872,119460,1715716040,956619128,,0.0
2024/05/14/15:47:20.968168,119461,1715716040,967080778,,0.0
2024/05/14/15:47:20.976864,119462,1715716040,976573885,,0.0
2024/05/14/15:47:20.988596,119463,1715716040,988321842,,0.0
2024/05/14/15:47:20.996906,119464,1715716040,996578130,,0.0
2024/05/14/15:47:21.007544,119465,1715716041,6831264,,0.0
2024/05/14/15:47:21.016845,119466,1715716041,16572826,,0.0
2024/05/14/15:47:21.027065,119467,1715716041,26825312,,0.0
2024/05/14/15:47:21.036807,119468,1715716041,36569795,,0.0
2024/05/14/15:47:21.047095,119469,1715716041,46845980,,0.0
2024/05/14/15:47:21.057452,119470,1715716041,56580381,,0.0
2024/05/14/15:47:21.067147,119471,1715716041,66848857,,0.0
2024/05/14/15:47:21.076852,119472,1715716041,76593996,,0.0
2024/05/14/15:47:21.088619,119473,1715716041,88345815,,0.0
2024/05/14/15:47:21.096882,119474,1715716041,96593839,,0.0
2024/05/14/15:47:21.107473,119475,1715716041,106846245,,0.0
2024/05/14/15:47:21.116948,119476,1715716041,116623888,,0.0
2024/05/14/15:47:21.127233,119477,1715716041,126842361,,0.0
2024/05/14/15:47:21.136853,119478,1715716041,136597197,,0.0
2024/05/14/15:47:21.147108,119479,1715716041,146862046,,0.0
2024/05/14/15:47:21.160461,119480,1715716041,156622182,,0.0
2024/05/14/15:47:21.167240,119481,1715716041,166866287,,0.0
2024/05/14/15:47:21.176978,119482,1715716041,176611739,,0.0
2024/05/14/15:47:21.188725,119483,1715716041,188363067,,0.0
2024/05/14/15:47:21.196948,119484,1715716041,196611011,,0.0
2024/05/14/15:47:21.207153,119485,1715716041,206863445,,0.0
2024/05/14/15:47:21.216890,119486,1715716041,216612910,,0.0
2024/05/14/15:47:21.227335,119487,1715716041,226860629,,0.0
2024/05/14/15:47:21.237156,119488,1715716041,236867830,,0.0
2024/05/14/15:47:21.247141,119489,1715716041,246882953,,0.0
2024/05/14/15:47:21.259576,119490,1715716041,256638056,,0.0
2024/05/14/15:47:21.267169,119491,1715716041,266881851,,0.0
2024/05/14/15:47:21.276903,119492,1715716041,276629736,,0.0
2024/05/14/15:47:21.288692,119493,1715716041,288382175,,0.0
2024/05/14/15:47:21.296988,119494,1715716041,296632190,,0.0
2024/05/14/15:47:21.307162,119495,1715716041,306900363,,0.0
2024/05/14/15:47:21.316992,119496,1715716041,316632441,,0.0
2024/05/14/15:47:21.327188,119497,1715716041,326879314,,0.0
2024/05/14/15:47:21.336923,119498,1715716041,336631651,,0.0
2024/05/14/15:47:21.347188,119499,1715716041,346900307,,0.0
2024/05/14/15:47:21.362654,119500,1715716041,356653900,,0.0
2024/05/14/15:47:21.367256,119501,1715716041,366904489,,0.0
2024/05/14/15:47:21.376953,119502,1715716041,376651387,,0.0
2024/05/14/15:47:21.388655,119503,1715716041,388399392,,0.0
2024/05/14/15:47:21.396960,119504,1715716041,396649717,,0.0
2024/05/14/15:47:21.407336,119505,1715716041,406930791,,0.0
2024/05/14/15:47:21.416930,119506,1715716041,416650117,,0.0
2024/05/14/15:47:21.427250,119507,1715716041,426899298,,0.0
2024/05/14/15:47:21.436973,119508,1715716041,436670397,,0.0
2024/05/14/15:47:21.447195,119509,1715716041,446920984,,0.0
2024/05/14/15:47:21.459408,119510,1715716041,456679497,,0.0
2024/05/14/15:47:21.467204,119511,1715716041,466920479,,0.0
2024/05/14/15:47:21.477012,119512,1715716041,476671585,,0.0
2024/05/14/15:47:21.488742,119513,1715716041,488419428,,0.0
2024/05/14/15:47:21.496933,119514,1715716041,496667204,,0.0
2024/05/14/15:47:21.507145,119515,1715716041,506916513,,0.0
2024/05/14/15:47:21.516986,119516,1715716041,516669265,,0.0
2024/05/14/15:47:21.527497,119517,1715716041,526919474,,0.0
2024/05/14/15:47:21.536887,119518,1715716041,536666990,,0.0
2024/05/14/15:47:21.547200,119519,1715716041,546938874,,0.0
2024/05/14/15:47:21.557375,119520,1715716041,556762375,,0.0
2024/05/14/15:47:21.567353,119521,1715716041,566940373,,0.0
2024/05/14/15:47:21.581463,119522,1715716041,576689842,,0.0
2024/05/14/15:47:21.588726,119523,1715716041,588437037,,0.0
2024/05/14/15:47:21.596935,119524,1715716041,596689140,,0.0
2024/05/14/15:47:21.607423,119525,1715716041,606945826,,0.0
2024/05/14/15:47:21.616975,119526,1715716041,616692334,,0.0
2024/05/14/15:47:21.627510,119527,1715716041,626937650,,0.0
2024/05/14/15:47:21.636952,119528,1715716041,636690456,,0.0
2024/05/14/15:47:21.647197,119529,1715716041,646941950,,0.0
2024/05/14/15:47:21.657383,119530,1715716041,656710470,,0.0
2024/05/14/15:47:21.667303,119531,1715716041,666961148,,0.0
2024/05/14/15:47:21.677056,119532,1715716041,676711056,,0.0
2024/05/14/15:47:21.688755,119533,1715716041,688475772,,0.0
2024/05/14/15:47:21.696996,119534,1715716041,696709413,,0.0
2024/05/14/15:47:21.707479,119535,1715716041,706983825,,0.0
2024/05/14/15:47:21.716999,119536,1715716041,716719925,,0.0
2024/05/14/15:47:21.727495,119537,1715716041,726955052,,0.0
2024/05/14/15:47:21.737700,119538,1715716041,736726736,,0.0
2024/05/14/15:47:21.747202,119539,1715716041,746975170,,0.0
2024/05/14/15:47:21.757166,119540,1715716041,756755572,,0.0
2024/05/14/15:47:21.767901,119541,1715716041,766979725,,0.0
2024/05/14/15:47:21.777009,119542,1715716041,776727800,,0.0
2024/05/14/15:47:21.788709,119543,1715716041,788476799,,0.0
2024/05/14/15:47:21.799500,119544,1715716041,796728225,,0.0
2024/05/14/15:47:21.807540,119545,1715716041,807023817,,0.0
2024/05/14/15:47:21.816727,119546,1715716041,816478881,,0.0
2024/05/14/15:47:21.827414,119547,1715716041,827001146,,0.0
2024/05/14/15:47:21.836761,119548,1715716041,836495793,,0.0
2024/05/14/15:47:21.847259,119549,1715716041,846996199,,0.0
2024/05/14/15:47:21.857068,119550,1715716041,856568883,,0.0
2024/05/14/15:47:21.867382,119551,1715716041,867004925,,0.0
2024/05/14/15:47:21.876759,119552,1715716041,876496608,,0.0
2024/05/14/15:47:21.888569,119553,1715716041,888246262,,0.0
2024/05/14/15:47:21.896737,119554,1715716041,896494811,,0.0
2024/05/14/15:47:21.907324,119555,1715716041,907021514,,0.0
2024/05/14/15:47:21.916789,119556,1715716041,916493635,,0.0
2024/05/14/15:47:21.927329,119557,1715716041,927016431,,0.0
2024/05/14/15:47:21.936731,119558,1715716041,936514255,,0.0
2024/05/14/15:47:21.947359,119559,1715716041,947017677,,0.0
2024/05/14/15:47:21.964355,119560,1715716041,956521286,,0.0
2024/05/14/15:47:21.967062,119561,1715716041,966766698,,0.0
2024/05/14/15:47:21.976789,119562,1715716041,976515776,,0.0
2024/05/14/15:47:21.988606,119563,1715716041,988271987,,0.0
2024/05/14/15:47:21.996841,119564,1715716041,996514259,,0.0
2024/05/14/15:47:22.007261,119565,1715716042,7018300,,0.0
2024/05/14/15:47:22.016724,119566,1715716042,16512076,,0.0
2024/05/14/15:47:22.027004,119567,1715716042,26781476,,0.0
2024/05/14/15:47:22.036791,119568,1715716042,36533107,,0.0
2024/05/14/15:47:22.047308,119569,1715716042,47038868,,0.0
2024/05/14/15:47:22.063452,119570,1715716042,56542739,,0.0
2024/05/14/15:47:22.067481,119571,1715716042,67038792,,0.0
2024/05/14/15:47:22.076818,119572,1715716042,76537256,,0.0
2024/05/14/15:47:22.091422,119573,1715716042,88285859,,0.0
2024/05/14/15:47:22.096765,119574,1715716042,96535422,,0.0
2024/05/14/15:47:22.107379,119575,1715716042,107057424,,0.0
2024/05/14/15:47:22.116868,119576,1715716042,116537532,,0.0
2024/05/14/15:47:22.127256,119577,1715716042,126813014,,0.0
2024/05/14/15:47:22.136797,119578,1715716042,136554791,,0.0
2024/05/14/15:47:22.147037,119579,1715716042,146803029,,0.0
