time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2024/05/14/15:47:20.949670,275751,1715716040,949591851,gps,0.01937780414090467,-0.01166659922042419,-0.9365618537044051,0.34977176180342934,"(0.002725031817626622, 0.0, 0.0, 0.0, 0.0027318494221906797, 0.0, 0.0, 0.0, 0.016400943190358896)",0.0006343761845752968,-0.0005435588832613642,-0.00033384700214986673,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.008826192279300033,0.002570972180253195,-0.004771630819802842,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:47:20.963340,275752,1715716040,963264840,gps,0.01937780414090467,-0.01166659922042419,-0.9365618537044051,0.34977176180342934,"(0.002725031817626622, 0.0, 0.0, 0.0, 0.0027318494221906797, 0.0, 0.0, 0.0, 0.016400943190358896)",-0.00015873832254879197,0.0003716856313259121,0.0003164615354711584,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.01104266199557105,-0.008196607668906633,0.008616171170089709,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:47:20.968809,275753,1715716040,968549402,gps,0.019396267267565187,-0.011681347067172821,-0.9365577432653556,0.3497812523227705,"(0.002725031817626622, 0.0, 0.0, 0.0, 0.0027318494221906797, 0.0, 0.0, 0.0, 0.016400943190358896)",-0.0004130348939717209,0.0009316365894864888,0.0004298755960855965,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.0011603714790653303,-0.014463050321984182,0.015297978394231103,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:47:20.975482,275754,1715716040,975416903,gps,0.019396267267565187,-0.011681347067172821,-0.9365577432653556,0.3497812523227705,"(0.002725031817626622, 0.0, 0.0, 0.0, 0.0027318494221906797, 0.0, 0.0, 0.0, 0.016400943190358896)",0.0005881964140355117,-0.0001812232083196253,-0.0004294203734921962,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.01833215777179171,0.010766601882031266,-0.006553934959575996,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:47:20.985529,275755,1715716040,985407223,gps,0.019379666946526944,-0.011668378577073698,-0.936558138925536,0.3497815459151044,"(0.002725031817626622, 0.0, 0.0, 0.0, 0.0027318494221906797, 0.0, 0.0, 0.0, 0.016400943190358896)",0.0003352649531637585,-0.0005819972760338559,0.0005193582867785479,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.0015140268249679183,0.0008422133305874682,-0.009749838958653369,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:47:20.993743,275756,1715716040,993650283,gps,0.019379666946526944,-0.011668378577073698,-0.936558138925536,0.3497815459151044,"(0.002725031817626622, 0.0, 0.0, 0.0, 0.0027318494221906797, 0.0, 0.0, 0.0, 0.016400943190358896)",0.0005061857675085857,0.00039765700349518807,5.9459483891696224e-05,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.006703150612739676,0.0045516842750072785,0.005127265881720351,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:47:21.008671,275757,1715716041,8608442,gps,0.019375272723475917,-0.01167591459998682,-0.9365626838782976,0.34976936828691124,"(0.002725031817626622, 0.0, 0.0, 0.0, 0.0027318494221906797, 0.0, 0.0, 0.0, 0.016400943190358896)",0.0005374519139494413,-7.60679626022527e-05,-0.0005658776604169787,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.007565685773771621,0.003017323542849138,-0.010287899879662499,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:47:21.015373,275758,1715716041,15286581,gps,0.019375272723475917,-0.01167591459998682,-0.9365626838782976,0.34976936828691124,"(0.002725031817626622, 0.0, 0.0, 0.0, 0.0027318494221906797, 0.0, 0.0, 0.0, 0.016400943190358896)",0.001155152967875191,-0.0003547160409483812,0.0010626464065363963,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.030177071765984838,0.010372032880008155,-0.014469808588878343,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:47:21.030520,275759,1715716041,30396259,gps,0.01937417009243697,-0.011669146755926028,-0.9365584000628394,0.34978112558992164,"(0.002725031817626622, 0.0, 0.0, 0.0, 0.0027318494221906797, 0.0, 0.0, 0.0, 0.016400943190358896)",-2.6378246026023637e-05,-0.0005103163747149399,0.00017703451598220527,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.014648767514846636,0.017541806336960373,-0.0008715741130707618,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:47:21.034601,275760,1715716041,34501164,gps,0.01937417009243697,-0.011669146755926028,-0.9365584000628394,0.34978112558992164,"(0.002725031817626622, 0.0, 0.0, 0.0, 0.0027318494221906797, 0.0, 0.0, 0.0, 0.016400943190358896)",-6.0770939927938266e-05,0.0005327092080653837,0.00022697808705634192,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.006785909561251281,-0.001171072553668876,-0.012497344848455268,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:47:21.057351,275761,1715716041,56880801,gps,0.01937800000067443,-0.011679093437857654,-0.9365559713768212,0.3497870843396914,"(0.002725031817626622, 0.0, 0.0, 0.0, 0.0027318494221906797, 0.0, 0.0, 0.0, 0.016400943190358896)",-1.1787289001638056e-05,0.00025948630327894733,0.0004985473003042562,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.010612297510412816,0.007967294265643693,0.018450185620504808,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:47:21.065435,275762,1715716041,65332690,gps,0.01937800000067443,-0.011679093437857654,-0.9365559713768212,0.3497870843396914,"(0.002725031817626622, 0.0, 0.0, 0.0, 0.0027318494221906797, 0.0, 0.0, 0.0, 0.016400943190358896)",-0.0005519695392777775,-0.0003526396930019156,0.00025938430766329315,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",0.01903628085282272,0.016604671127937676,0.002822855750521387,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
2024/05/14/15:47:21.069659,275763,1715716041,69562279,gps,0.01938051598626761,-0.011683520163315753,-0.9365605289477363,0.34977459395135546,"(0.002725031817626622, 0.0, 0.0, 0.0, 0.0027318494221906797, 0.0, 0.0, 0.0, 0.016400943190358896)",0.00012265676538187684,0.0007217834496845437,-0.000682413573615814,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)",-0.017291095359779438,0.015969229752984686,-0.003103271184254414,"(0.001, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001)"
