time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.brake_pedal
2024/05/14/15:47:21.426025,119507,1715716041,425656275,,0.25200000405311584
2024/05/14/15:47:21.436094,119508,1715716041,435683423,,0.25200000405311584
2024/05/14/15:47:21.446044,119509,1715716041,445676723,,0.25200000405311584
2024/05/14/15:47:21.456717,119510,1715716041,455681156,,0.25200000405311584
2024/05/14/15:47:21.466236,119511,1715716041,465679514,,0.25200000405311584
2024/05/14/15:47:21.476021,119512,1715716041,475680990,,0.25200000405311584
2024/05/14/15:47:21.486118,119513,1715716041,485677375,,0.25200000405311584
2024/05/14/15:47:21.496063,119514,1715716041,495704088,,0.25200000405311584
2024/05/14/15:47:21.506074,119515,1715716041,505708212,,0.25200000405311584
2024/05/14/15:47:21.516096,119516,1715716041,515680662,,0.25200000405311584
2024/05/14/15:47:21.526103,119517,1715716041,525705302,,0.25200000405311584
2024/05/14/15:47:21.536075,119518,1715716041,535705295,,0.25200000405311584
2024/05/14/15:47:21.546159,119519,1715716041,545718961,,0.25200000405311584
2024/05/14/15:47:21.556563,119520,1715716041,555693551,,0.25200000405311584
2024/05/14/15:47:21.566030,119521,1715716041,565696541,,0.25200000405311584
2024/05/14/15:47:21.581427,119522,1715716041,575756497,,0.25200000405311584
2024/05/14/15:47:21.586160,119523,1715716041,585721696,,0.25200000405311584
2024/05/14/15:47:21.596039,119524,1715716041,595721440,,0.25200000405311584
2024/05/14/15:47:21.606595,119525,1715716041,605691502,,0.25200000405311584
2024/05/14/15:47:21.615993,119526,1715716041,615691250,,0.25200000405311584
2024/05/14/15:47:21.626142,119527,1715716041,625735217,,0.25200000405311584
2024/05/14/15:47:21.636119,119528,1715716041,635724925,,0.25200000405311584
2024/05/14/15:47:21.646493,119529,1715716041,645730288,,0.25200000405311584
2024/05/14/15:47:21.656549,119530,1715716041,655734314,,0.25200000405311584
2024/05/14/15:47:21.666176,119531,1715716041,665716209,,0.25200000405311584
2024/05/14/15:47:21.676163,119532,1715716041,675723258,,0.25200000405311584
2024/05/14/15:47:21.686112,119533,1715716041,685745930,,0.25200000405311584
2024/05/14/15:47:21.696080,119534,1715716041,695711339,,0.25200000405311584
2024/05/14/15:47:21.706294,119535,1715716041,705712863,,0.25200000405311584
2024/05/14/15:47:21.716162,119536,1715716041,715741239,,0.25200000405311584
2024/05/14/15:47:21.726148,119537,1715716041,725720125,,0.25200000405311584
2024/05/14/15:47:21.736162,119538,1715716041,735735838,,0.25200000405311584
2024/05/14/15:47:21.746057,119539,1715716041,745761178,,0.25200000405311584
2024/05/14/15:47:21.756153,119540,1715716041,755740765,,0.25200000405311584
2024/05/14/15:47:21.766200,119541,1715716041,765732623,,0.25200000405311584
2024/05/14/15:47:21.776106,119542,1715716041,775760125,,0.25200000405311584
2024/05/14/15:47:21.786035,119543,1715716041,785732342,,0.25200000405311584
2024/05/14/15:47:21.799359,119544,1715716041,795749958,,0.25200000405311584
2024/05/14/15:47:21.806254,119545,1715716041,805732881,,0.25200000405311584
2024/05/14/15:47:21.816039,119546,1715716041,815732096,,0.25200000405311584
2024/05/14/15:47:21.826039,119547,1715716041,825729643,,0.25200000405311584
2024/05/14/15:47:21.836130,119548,1715716041,835733866,,0.25200000405311584
2024/05/14/15:47:21.846090,119549,1715716041,845751301,,0.25200000405311584
2024/05/14/15:47:21.856645,119550,1715716041,855767840,,0.25200000405311584
2024/05/14/15:47:21.866064,119551,1715716041,865747617,,0.25200000405311584
2024/05/14/15:47:21.876064,119552,1715716041,875749711,,0.25200000405311584
2024/05/14/15:47:21.886097,119553,1715716041,885750149,,0.25200000405311584
2024/05/14/15:47:21.896260,119554,1715716041,895805040,,0.25200000405311584
2024/05/14/15:47:21.906120,119555,1715716041,905748319,,0.25200000405311584
2024/05/14/15:47:21.916193,119556,1715716041,915781487,,0.25200000405311584
2024/05/14/15:47:21.926138,119557,1715716041,925773849,,0.25200000405311584
