time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.twist.linear.x,.twist.linear.y,.twist.linear.z,.twist.angular.x,.twist.angular.y,.twist.angular.z
2024/05/14/15:47:21.393227,136856,1715716041,392988413,base_link,-3.7435205539189946e-05,0.0,0.0,0.0,0.0,-3.672463826980751e-08
2024/05/14/15:47:21.413332,136857,1715716041,413024557,base_link,-3.694730310570291e-05,0.0,0.0,0.0,0.0,-1.2219659798181533e-08
2024/05/14/15:47:21.433237,136858,1715716041,432936825,base_link,-3.603412928155816e-05,0.0,0.0,0.0,0.0,-8.63952146453387e-09
2024/05/14/15:47:21.454335,136859,1715716041,453769646,base_link,-2.7686018612684574e-05,0.0,0.0,0.0,0.0,-4.316723550322081e-09
2024/05/14/15:47:21.473437,136860,1715716041,473115679,base_link,-2.196867184660419e-05,0.0,0.0,0.0,0.0,-2.0235566057504005e-09
2024/05/14/15:47:21.493232,136861,1715716041,492975434,base_link,-1.7833137958269873e-05,0.0,0.0,0.0,0.0,-6.179999540885202e-10
2024/05/14/15:47:21.513248,136862,1715716041,512958032,base_link,-1.2054948184051803e-05,0.0,0.0,0.0,0.0,9.614785976876172e-11
2024/05/14/15:47:21.533282,136863,1715716041,532965377,base_link,-8.811193005609608e-06,0.0,0.0,0.0,0.0,1.9542718695014926e-10
2024/05/14/15:47:21.554194,136864,1715716041,553693550,base_link,1.8944492881038497e-05,0.0,0.0,0.0,0.0,1.736798446829765e-08
2024/05/14/15:47:21.573329,136865,1715716041,572997721,base_link,3.6196019982048944e-05,0.0,0.0,0.0,0.0,2.6261169654939246e-08
2024/05/14/15:47:21.593288,136866,1715716041,593032323,base_link,4.733531704099417e-05,0.0,0.0,0.0,0.0,3.154053056494332e-08
2024/05/14/15:47:21.613303,136867,1715716041,613007049,base_link,4.47788023349454e-05,0.0,0.0,0.0,0.0,1.0458664441217543e-08
2024/05/14/15:47:21.633372,136868,1715716041,633057688,base_link,4.264696643475464e-05,0.0,0.0,0.0,0.0,7.37921510492094e-09
2024/05/14/15:47:21.653582,136869,1715716041,653223904,base_link,3.667376838528585e-05,0.0,0.0,0.0,0.0,7.687848541207245e-09
2024/05/14/15:47:21.673357,136870,1715716041,673082689,base_link,3.2322917823834194e-05,0.0,0.0,0.0,0.0,7.80138902276595e-09
2024/05/14/15:47:21.693272,136871,1715716041,693004162,base_link,2.8977666487460376e-05,0.0,0.0,0.0,0.0,7.83122339506022e-09
2024/05/14/15:47:21.713342,136872,1715716041,712994617,base_link,2.15426653974417e-05,0.0,0.0,0.0,0.0,2.341206945434293e-09
2024/05/14/15:47:21.733263,136873,1715716041,733018772,base_link,1.726524188193708e-05,0.0,0.0,0.0,0.0,1.5435486395591014e-09
2024/05/14/15:47:21.753145,136874,1715716041,752874286,base_link,-7.429632865137699e-06,0.0,0.0,0.0,0.0,-1.4752714948964761e-08
2024/05/14/15:47:21.773306,136875,1715716041,773005648,base_link,-2.2960453208696097e-05,0.0,0.0,0.0,0.0,-2.3202756282291396e-08
2024/05/14/15:47:21.793200,136876,1715716041,792929738,base_link,-3.314129107071461e-05,0.0,0.0,0.0,0.0,-2.8227708880996126e-08
2024/05/14/15:47:21.813781,136877,1715716041,813489289,base_link,-3.274621420253713e-05,0.0,0.0,0.0,0.0,-9.419993501744124e-09
2024/05/14/15:47:21.833226,136878,1715716041,832950486,base_link,-9.022261236924956e-06,0.0,0.0,0.0,0.0,-2.411138899711174e-09
2024/05/14/15:47:21.853209,136879,1715716041,852915943,base_link,4.899450651988935e-06,0.0,0.0,0.0,0.0,3.3984376179468635e-10
2024/05/14/15:47:21.873203,136880,1715716041,872924373,base_link,1.3626506209996424e-05,0.0,0.0,0.0,0.0,1.7798602327704302e-09
2024/05/14/15:47:21.893189,136881,1715716041,892933713,base_link,1.9321513439845893e-05,0.0,0.0,0.0,0.0,2.6471760308171406e-09
2024/05/14/15:47:21.913228,136882,1715716041,912973627,base_link,1.893937099938022e-05,0.0,0.0,0.0,0.0,9.624351416572912e-10
2024/05/14/15:47:21.933598,136883,1715716041,933341031,base_link,6.401106207125492e-06,0.0,0.0,0.0,0.0,-3.0090056472161395e-08
2024/05/14/15:47:21.954162,136884,1715716041,953712373,base_link,-8.687998314960026e-07,0.0,0.0,0.0,0.0,-4.194232941159236e-08
2024/05/14/15:47:21.973369,136885,1715716041,973127363,base_link,-5.354968425626758e-06,0.0,0.0,0.0,0.0,-4.7893372226614517e-08
2024/05/14/15:47:21.993300,136886,1715716041,993042178,base_link,-8.222507979930521e-06,0.0,0.0,0.0,0.0,-5.127442707265029e-08
2024/05/14/15:47:22.013012,136887,1715716042,12796579,base_link,-8.259723325603591e-06,0.0,0.0,0.0,0.0,-1.596471554145637e-08
2024/05/14/15:47:22.033339,136888,1715716042,33121923,base_link,-8.089835339249183e-06,0.0,0.0,0.0,0.0,-1.082444942056474e-08
2024/05/14/15:47:22.053924,136889,1715716042,53492890,base_link,-3.955436136859102e-05,0.0,0.0,0.0,0.0,-9.606975564848027e-09
2024/05/14/15:47:22.073639,136890,1715716042,73389888,base_link,-5.8891619126393425e-05,0.0,0.0,0.0,0.0,-8.908562718644851e-09
2024/05/14/15:47:22.093290,136891,1715716042,93000751,base_link,-7.118784582988964e-05,0.0,0.0,0.0,0.0,-8.438835292028625e-09
2024/05/14/15:47:22.113525,136892,1715716042,113014250,base_link,-6.47988578014797e-05,0.0,0.0,0.0,0.0,-2.4227422128791336e-09
2024/05/14/15:47:22.133318,136893,1715716042,132933332,base_link,-6.0324279959933464e-05,0.0,0.0,0.0,0.0,-1.5502559339192294e-09
2024/05/14/15:47:22.153371,136894,1715716042,152992078,base_link,-3.8557860394780464e-05,0.0,0.0,0.0,0.0,1.1465949255846965e-08
2024/05/14/15:47:22.173273,136895,1715716042,172993071,base_link,-2.4247418883398376e-05,0.0,0.0,0.0,0.0,1.8217634143503204e-08
2024/05/14/15:47:22.193156,136896,1715716042,192912400,base_link,-1.4351972482993444e-05,0.0,0.0,0.0,0.0,2.2234595033070185e-08
2024/05/14/15:47:22.213278,136897,1715716042,212973038,base_link,-5.944373515718431e-06,0.0,0.0,0.0,0.0,7.431833123815838e-09
2024/05/14/15:47:22.233219,136898,1715716042,232983971,base_link,5.247331411258102e-06,0.0,0.0,0.0,0.0,9.939258325294791e-09
2024/05/14/15:47:22.253468,136899,1715716042,253180850,base_link,1.1675764717420968e-05,0.0,0.0,0.0,0.0,1.0834408863367601e-08
2024/05/14/15:47:22.273592,136900,1715716042,273276470,base_link,1.5593791015093085e-05,0.0,0.0,0.0,0.0,1.1235902190944342e-08
2024/05/14/15:47:22.293390,136901,1715716042,293099363,base_link,1.8056794636709154e-05,0.0,0.0,0.0,0.0,1.1423857317652816e-08
2024/05/14/15:47:22.313289,136902,1715716042,313009277,base_link,1.606860428047136e-05,0.0,0.0,0.0,0.0,3.444114619732947e-09
2024/05/14/15:47:22.333563,136903,1715716042,333079402,base_link,1.4755688436266944e-05,0.0,0.0,0.0,0.0,2.284281402677238e-09
2024/05/14/15:47:22.353432,136904,1715716042,353133496,base_link,9.896811551118607e-06,0.0,0.0,0.0,0.0,-3.315674562749353e-09
2024/05/14/15:47:22.373466,136905,1715716042,373171910,base_link,6.7751024223121006e-06,0.0,0.0,0.0,0.0,-6.230616433239224e-09
2024/05/14/15:47:22.393396,136906,1715716042,393028466,base_link,4.674397346741662e-06,0.0,0.0,0.0,0.0,-7.973117291373225e-09
2024/05/14/15:47:22.414082,136907,1715716042,413716282,base_link,2.6337581647444254e-06,0.0,0.0,0.0,0.0,-2.7252587843049454e-09
2024/05/14/15:47:22.434241,136908,1715716042,433890472,base_link,1.5627212441179304e-06,0.0,0.0,0.0,0.0,-1.9573513242571534e-09
2024/05/14/15:47:22.453359,136909,1715716042,453092972,base_link,-2.7332215846398757e-06,0.0,0.0,0.0,0.0,-1.7081019443589826e-08
2024/05/14/15:47:22.473392,136910,1715716042,473056707,base_link,-5.462992628253047e-06,0.0,0.0,0.0,0.0,-2.490239519212081e-08
2024/05/14/15:47:22.493282,136911,1715716042,493004344,base_link,-7.275320750521064e-06,0.0,0.0,0.0,0.0,-2.9536749766599365e-08
2024/05/14/15:47:22.514424,136912,1715716042,514122554,base_link,-6.971929408732238e-06,0.0,0.0,0.0,0.0,-9.73253311826894e-09
2024/05/14/15:47:22.534186,136913,1715716042,533811221,base_link,-6.7130469268674635e-06,0.0,0.0,0.0,0.0,-6.84078872324736e-09
2024/05/14/15:47:22.553428,136914,1715716042,553169185,base_link,1.631761351903677e-05,0.0,0.0,0.0,0.0,-4.045180522429016e-09
2024/05/14/15:47:22.573320,136915,1715716042,573054590,base_link,3.0597768488751766e-05,0.0,0.0,0.0,0.0,-2.554291856497489e-09
2024/05/14/15:47:22.593191,136916,1715716042,592922896,base_link,3.978830283867413e-05,0.0,0.0,0.0,0.0,-1.6342438947796776e-09
2024/05/14/15:47:22.613134,136917,1715716042,612863043,base_link,3.752389581100128e-05,0.0,0.0,0.0,0.0,-3.03761533675856e-10
2024/05/14/15:47:22.633162,136918,1715716042,632867700,base_link,3.566134642659308e-05,0.0,0.0,0.0,0.0,-1.134003574249377e-10
2024/05/14/15:47:22.653605,136919,1715716042,653349253,base_link,1.829255611895855e-05,0.0,0.0,0.0,0.0,1.4681632670148811e-08
2024/05/14/15:47:22.673914,136920,1715716042,673622261,base_link,7.082818373186867e-06,0.0,0.0,0.0,0.0,2.2345472845830045e-08
2024/05/14/15:47:22.693578,136921,1715716042,693301672,base_link,-5.027955430171232e-07,0.0,0.0,0.0,0.0,2.689658771070693e-08
2024/05/14/15:47:22.713899,136922,1715716042,713593239,base_link,-4.754687229009066e-06,0.0,0.0,0.0,0.0,8.92857548518793e-09
2024/05/14/15:47:22.733602,136923,1715716042,733306768,base_link,-6.873929057440785e-06,0.0,0.0,0.0,0.0,6.303819613544005e-09
2024/05/14/15:47:22.753818,136924,1715716042,753683710,base_link,1.6538924743464214e-05,0.0,0.0,0.0,0.0,5.347128319220648e-09
2024/05/14/15:47:22.773249,136925,1715716042,772965323,base_link,3.104544407046883e-05,0.0,0.0,0.0,0.0,4.812078021058927e-09
2024/05/14/15:47:22.793302,136926,1715716042,793032832,base_link,4.037351328252106e-05,0.0,0.0,0.0,0.0,4.462307039313313e-09
2024/05/14/15:47:22.813265,136927,1715716042,812980482,base_link,3.807165260671256e-05,0.0,0.0,0.0,0.0,1.2608687899203096e-09
2024/05/14/15:47:22.833284,136928,1715716042,833004999,base_link,3.6175782149843894e-05,0.0,0.0,0.0,0.0,7.968931446870029e-10
2024/05/14/15:47:22.853657,136929,1715716042,853098120,base_link,1.5181332128147436e-05,0.0,0.0,0.0,0.0,-1.496002724142724e-08
2024/05/14/15:47:22.873381,136930,1715716042,873092430,base_link,1.7066694176654274e-06,0.0,0.0,0.0,0.0,-2.312614959748882e-08
2024/05/14/15:47:22.893219,136931,1715716042,892977452,base_link,-7.351156420566239e-06,0.0,0.0,0.0,0.0,-2.7978812612476612e-08
2024/05/14/15:47:22.913096,136932,1715716042,912877380,base_link,-1.1165037931356856e-05,0.0,0.0,0.0,0.0,-9.311419132918466e-09
2024/05/14/15:47:22.933159,136933,1715716042,932904086,base_link,-1.295061323067707e-05,0.0,0.0,0.0,0.0,-6.584081817315132e-09
2024/05/14/15:47:22.953337,136934,1715716042,952994763,base_link,4.510221742519588e-06,0.0,0.0,0.0,0.0,9.912100172643048e-09
2024/05/14/15:47:22.973485,136935,1715716042,973148816,base_link,1.5493970302136583e-05,0.0,0.0,0.0,0.0,1.8497333674199286e-08
2024/05/14/15:47:22.993292,136936,1715716042,993045902,base_link,2.2696050210307694e-05,0.0,0.0,0.0,0.0,2.3628234381554005e-08
2024/05/14/15:47:23.013294,136937,1715716043,13015483,base_link,2.255340525913245e-05,0.0,0.0,0.0,0.0,8.06958028337484e-09
2024/05/14/15:47:23.033151,136938,1715716043,32867665,base_link,2.208590842170943e-05,0.0,0.0,0.0,0.0,5.792971155628173e-09
2024/05/14/15:47:23.053432,136939,1715716043,53063949,base_link,5.452937549909085e-06,0.0,0.0,0.0,0.0,-1.9162275426583462e-09
2024/05/14/15:47:23.074125,136940,1715716043,73800908,base_link,-5.184329402394462e-06,0.0,0.0,0.0,0.0,-5.945388012975361e-09
2024/05/14/15:47:23.093314,136941,1715716043,93048459,base_link,-1.230385108966588e-05,0.0,0.0,0.0,0.0,-8.36711762653988e-09
2024/05/14/15:47:23.113381,136942,1715716043,113086659,base_link,-1.409900485898549e-05,0.0,0.0,0.0,0.0,-2.9782197255300122e-09
2024/05/14/15:47:23.133216,136943,1715716043,132977334,base_link,-1.4805441737488495e-05,0.0,0.0,0.0,0.0,-2.1876382683434795e-09
2024/05/14/15:47:23.153451,136944,1715716043,153208093,base_link,-2.9093219160925303e-05,0.0,0.0,0.0,0.0,-2.753274125508305e-09
2024/05/14/15:47:23.174300,136945,1715716043,173971248,base_link,-3.762886408140976e-05,0.0,0.0,0.0,0.0,-3.032507128031793e-09
2024/05/14/15:47:23.193507,136946,1715716043,193002622,base_link,-4.285073439831101e-05,0.0,0.0,0.0,0.0,-3.1871586414263358e-09
2024/05/14/15:47:23.213359,136947,1715716043,213043185,base_link,-3.770478410834032e-05,0.0,0.0,0.0,0.0,-9.812596938289356e-10
2024/05/14/15:47:23.233176,136948,1715716043,232934639,base_link,-3.432335564851328e-05,0.0,0.0,0.0,0.0,-6.603054968906093e-10
2024/05/14/15:47:23.253318,136949,1715716043,253072802,base_link,-1.063250415673766e-05,0.0,0.0,0.0,0.0,7.182326764680458e-09
2024/05/14/15:47:23.274347,136950,1715716043,273435161,base_link,4.469981951915448e-06,0.0,0.0,0.0,0.0,1.124832756383306e-08
2024/05/14/15:47:23.293302,136951,1715716043,293040652,base_link,1.4538654968188723e-05,0.0,0.0,0.0,0.0,1.3665748268839407e-08
2024/05/14/15:47:23.313575,136952,1715716043,313030706,base_link,1.7568300180780533e-05,0.0,0.0,0.0,0.0,4.557390408797439e-09
2024/05/14/15:47:23.333302,136953,1715716043,332941115,base_link,1.8827435764874984e-05,0.0,0.0,0.0,0.0,3.2264719263976128e-09
2024/05/14/15:47:23.353401,136954,1715716043,353131931,base_link,-5.327639357674118e-06,0.0,0.0,0.0,0.0,-3.6063017311861984e-09
2024/05/14/15:47:23.374236,136955,1715716043,373578214,base_link,-2.0488893455202665e-05,0.0,0.0,0.0,0.0,-7.16537457774157e-09
